链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
https://www.bilibili.com/video/BV1cy4y1B7PZ?from=search&seid=14204589028410475788,永志不忘！国家公祭日 83位中学生齐声朗诵《和平宣言》,73000.0,90.0,20201213.0,20000.0,1873.0,941.0,597.0,300.0
评论点赞数,评论内容,,,,,,,,
1328,未曾经历过，岂敢说原谅，缅怀先烈，勿忘国耻,,,,,,,,
1121,很喜欢共青团曾经说过的一句话（原句记不清了）：现在的年轻人喜欢看日本动漫，但是在国家大义面前，他们会站在国家这一边。勿忘历史，缅怀先烈，但是切莫以暴制暴。拒绝修昔底德陷阱。,,,,,,,,
634,"有一只折扇叫做历史,这只折扇上写 满了30万华人的名字,可日本人却想 把它折叠起来,使它变成一片空 白",,,,,,,,
407,巍巍金陵，滔滔大江，钟山花雨，千秋芬芳。一九三七，祸从天降，一二一三，古城沦丧。侵华倭寇，掳掠烧杀，尸横遍野，血染长江。三十余万，生灵涂炭，炼狱六周，哀哉国殇。举世震惊，九州同悼，雪松纪年，寒梅怒放。亘古浩劫，文明罹难，百年悲叹，警钟鸣响。积贫积弱，山河蒙羞，内忧外患，国破家亡。民族觉醒，独立解放，改革振兴，国运日昌。前事不忘，后事之师，殷忧启圣，多难兴邦。八十三载，青史昭彰，生生不息，山高水长。二零二零，国家公祭，中外人士，齐聚广场。白花致哀，庄严肃穆，丹忱抒写，和平诗章。大道之行，天下为公，大德曰生，和气致祥。和平发展，时代主题，民族复兴，世代梦想。龙盘虎踞，彝训鼎铭，继往开来，永志不忘。,,,,,,,,
250,公祭鼎铭文泱泱华夏，赫赫文明。仁风远播，大化周行。洎及近代，积弱积贫。九原板荡，百载陆沉。侵华日寇，毁吾南京。劫掠黎庶，屠戮苍生。卅万亡灵，饮恨江城。日月惨淡，寰宇震惊。兽行暴虐，旷世未闻。同胞何辜，国难正殷。哀兵奋起，金戈鼉鼓。兄弟同心，共御外侮。捐躯洒血，浩气干云。尽扫狼烟，重振乾坤。乙酉既捷，家国维新。昭昭前事，惕惕后人。国行公祭，法立典章。铸兹宝鼎，祀我国殇。永矢弗谖，祈愿和平。中华圆梦，民族复兴。,,,,,,,,
228,《三十万的魂》漫漫长夜，不见星光夜幕吞没应天直到，人头落地三十万无家的魂无言的离去岁月载满着猩红悲鸣回荡着思乡谁又能想到，带血的刺刀被打扮成了笛吹的是，岁月静好风吹不散长恨光打不破思乡那数万万的魂啊只能眼睁睁的看着恶魔庙下，祭拜的人们,,,,,,,,
196,"上海有个叫做吴祖康的老爷子，2000年开始创建一个叫：918爱国网   <img alt=""[爱心]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/ed04066ea7124106d17ffcaf75600700e5442f5c.png@100w_100h.webp""/>的网站，网站收集了目前几乎所有的抗战资料新闻。20年间，老人家一直靠自己的退休金和各界人士的捐赠维护网站，时而还要去慰问抗战老兵，目前网站还一直处于赤字状态。在今天这个特殊日子，希望有能力的小伙伴对网站进行捐助，2000年开始，每一分捐助的使用情况全部都在网站上透明公开大家可以看一下这个网站，或者复制一下这段话，评论到其他视频下，让更多人知道这个网站",,,,,,,,
146,昭昭前事，惕惕后人。永矢弗谖，祈愿和平！,,,,,,,,
