链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
https://www.bilibili.com/video/BV1No4y1o7ap?from=search&seid=17193688311377318020,【越哥】2011年华语票房冠军，一群青楼女人的救赎和牺牲。《金陵十三钗》,55000.0,304.0,20210114.0,3850.0,1619.0,487.0,84.0,180.0
评论点赞数,评论内容,,,,,,,,
267,不敢看第二遍的电影，国仇家恨。,,,,,,,,
176,吓死了，这电影已经快十年了？  时间快得有点吓人,,,,,,,,
147,《金陵十三钗》是2011年张艺谋执导的一部战争史诗电影，克里斯蒂安·贝尔、倪妮、佟大为、张歆怡、黄天元和渡部笃郎等联袂出演。电影的故事以抗日战争时期的南京大屠杀为背景，讲述了1937年被日军侵占的中国南京，在一个教堂里互不相识的人们之间发生的感人故事。,,,,,,,,
69,有些人闭着眼睛，仿佛什么事情都没有发生,,,,,,,,
65,我有一段情呀 唱给诸公听诸公各位 静呀静静心呀让我来 唱一支秦淮景呀细细呀 道来 唱给诸公听呀秦淮缓缓流呀 盘古到如今江南锦绣 金陵风雅情呀瞻园里 堂阔宇深呀白鹭洲水涟涟 世外桃源呀,,,,,,,,
51,大一期末考试结束后，和寝室的姐妹们一起看的。结束考试的喜悦都消失了，看得心情郁闷，太压抑了。,,,,,,,,
35,当时在电影院看的，太难受了。。。佟大为那个片段也是想想就心痛。。。,,,,,,,,
39,日本人作的恶，总有一天要还,,,,,,,,
54,一眨眼十年过去，我记得电影拍摄期间遇到3·11日本9.0级大地震，片场有日本演员留下继续拍摄没有回国,,,,,,,,
31,这是我唯一看不下去的越哥解说的电影，对日本的文化，我保持中立，但对那年踏上中国国土的日本人，我只表示，杀人偿命，该还的，子子孙孙还不净，仇恨，祖祖辈辈了不清,,,,,,,,
21,这个文案不是我认识的越哥……,,,,,,,,
16,"我承认作为一名年轻的00后，日本的部分文化和动漫制作很吸引我，我也很欣赏它独特的美感，但是只是艺术层面的欣赏而已，毕竟日本现在威胁不到中国，但每每想到曾经的耻辱，看到这种影片我都会异常愤怒到全身发抖的地步，我觉得应该每隔几年就出一出类似的严肃的日军侵华题材的电影让一代代年轻的人在欣赏日本部分文化和动漫的同时，时不时能被提醒曾经的痛以及日本帝国主义的恶行，时刻警醒。我相信多数国人都是能拎的清的<img alt=""[加油]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/c7aaeacb21e107292d3bb053e5abde4a4459ed30.png@100w_100h.webp""/>时刻保持危机感吧！",,,,,,,,
12,我有一段情，唱给诸公听啊～～～～《秦淮景》,,,,,,,,
15,结论哪里我觉得越哥在回避电影本身的核心,,,,,,,,
12,你们知道最惨的是什么吗？我们大概永远也报不了这个仇了……,,,,,,,,
12,"好心痛啊<img alt=""[大哭]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png@100w_100h.webp""/>在南京读书，觉得真正在这里生活过，对这座城市的感情也不同了",,,,,,,,
10,只敢看解说，不敢看原片，越看越愤怒，越压抑,,,,,,,,
8,这是很多人心里脏透的人这也是一些人心里最干净的人,,,,,,,,
7,种族不分优劣，职业不分贵贱，人性都一样，恶的部分恶到令人发指，高尚的部分令人敬佩，可以活的灵魂卑贱，也可以活的灵魂洒脱。相信苦难的历史留给我们的不是屈辱和仇恨，在不忘苦难的同时，正确对面人性以及从我做起，激发心中的正能量以影响更多的人才是正道。,,,,,,,,
7,山川异域，不共戴天。,,,,,,,,
