链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
https://www.bilibili.com/video/BV1bt411v7W7?from=search&seid=1750330274017779470,永忆金陵殇 - 南京大屠杀八十一周年遇难同胞纪念日,152000.0,2594.0,20181213.0,31000.0,22000.0,8871.0,6493.0,2000.0
评论点赞数,评论内容,,,,,,,,
4760,铭记历史，勿忘国耻。,,,,,,,,
3958,如果没有她，中国近代史上最黑暗、最痛苦的一段历史可能还要过很久很久才会被全世界知道。她，就是张纯如，那段触目惊心的历史就是南京大屠杀。张纯如的《南京大屠杀》是第一部全面深入叙述南京大屠杀的英语著作。英语著作，英语著作，英语著作。英语著作的意义在于，全世界有近20亿人口以英语为母语、作为官方语言之一或者生活在通用英语的国家。张纯如的《南京大屠杀》使他们第一次知道原来在人类历史上还存在过这样令人发指的暴行。这本书出版时张纯如只有29岁，没人能料到，7年后她的生命却戛然而止。她是个无法忘记历史的女子，她铭记历史，我们也无法忘记她。再刷一下张纯如女士，我想让更多的人认识她，记得她。。,,,,,,,,
2701,团团的头像也换成灰色的了，小细节,,,,,,,,
1662,勿忘国耻 爱我中华,,,,,,,,
1085,勿忘国耻牢记历史,,,,,,,,
416,我觉得最迷幻的是，明明中国是战争的受害者，日本是侵略者。到现在日本都没有道歉，都在扭曲历史，我们中国人也没做过分的事，却有一堆人涌现出来，叫喊者仇恨教育和原谅，这些人脑子里想着什么？日本还没道歉呢，你就上赶着要忘记历史，还把铭记国难和仇恨教育划等号？,,,,,,,,
347,墙上密密麻麻写满成千上万死难者的名字我只看了一眼只看了一眼就决定离开头也不回地离开因为我看到了一位朋友的名字当然我知道只是重名几乎可以确定只要再看第二眼我就会看见自己的名字          ——朱剑《南京大屠杀》,,,,,,,,
281,给所有说现代日本人跟以前的事没关系的人一言。这些人忽略了一个事实，就是这些日本人的祖辈从来没有承认过这起恶行，并且言辞凿凿的告诉他们的后代，没有这回事。于是这些后人就会理所当然的不去反思，不去悔过，然后这群没有从祖辈得到教训的后人，迟早有一天会再次侵略，因为他们没有得到教训，这就是日本和德国本质的区别。一个不知道救赎的国家总有一天还会挥起屠刀，而刀落下的下一个也许就是你的后人……勿忘国耻，说的不仅仅事勿忘先人，更重要的是不要让悲剧再次发生。前路漫长，身边都是豺狼，团结一致，承先人之志，奋勇向前。,,,,,,,,
