链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
22,香川叔父亲中风瘫痪，猿之助这个泽泻屋标志名号已经传给了侄子，也就是香川叔堂弟，估计香川叔没机会继承宗家家名了。但是香川叔儿子已经继承了五代目市川团子，这个名字是泽泻屋历代宗家名，从香川叔曾祖父，爷爷，爸爸，叔叔年轻时都用过，到他儿子已经是第五代。而他堂弟没结婚没儿子，估计泽泻屋宗家最后还是会传回香川叔儿子这里,,,,,,,,
24,所以说好多事不能都怪原生家庭。虽然基因强大。但是也靠自己与自己和解。,,,,,,,,
20,“得了十二指肠，病倒了”这是什么病？翻译翻译,,,,,,,,
17,香川演半泽直树那个反派时候，主角就是从小缺乏父爱，长大复仇。这个剧情对于香川来说也是触及他心里内心深处的感情,,,,,,,,
20,我突然想起来了，叔喜欢昆虫。搞不好那个昆虫多的医院他是喜欢的。。。,,,,,,,,
14,唯一一个能让我喊出他日文名字并且不会忘记的男配角，香川照之。,,,,,,,,
11,一看到他，我就会想起他的渣爹，还有他可爱的孩子哈哈哈哈哈哈,,,,,,,,
12,哑巴的角色楞是没看出来。,,,,,,,,
13,这是不是大和田啊,,,,,,,,
23,鬼子来了是部神作，讽刺了国民骨子里的奴性,,,,,,,,
9,13年香川叔进半泽直树剧组的自我介绍是：“我是坛蜜，请多关照！”😂😂😂,,,,,,,,
8,emm我个人倒觉得国民奴性有些片面，是人性，在愚昧年代的人性，也不仅仅是国民。,,,,,,,,
8,明明能当影帝，却选择成为昆虫王子,,,,,,,,
7,文本写的真好，声音也很温暖,,,,,,,,
9,我觉得香川好像黄渤，长得像演技也像,,,,,,,,
9,没想到鬼子来了和半泽直树里居然是一个人，太厉害了,,,,,,,,
5,香川叔演了好几个反战反军国主义的角色了 而且能演小人物 也能演那种位高权重的大人物 确实好演员,,,,,,,,
4,果然被封杀的都是好作品啊,,,,,,,,
6,"有些人看到视频弹幕里的一点错误就挑出来骂up主低能，人非圣贤孰能无过？能不能积点口德？<img alt=""[捂脸]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/6921bb43f0c634870b92f4a8ad41dada94a5296d.png@100w_100h.webp""/>",,,,,,,,
5,香川照之在暖里的演技真的是没的说强无敌,,,,,,,,
5,日本为何不承认南京大屠杀 可以参考郑强的观点,,,,,,,,
3,他爸真的，不是男人。,,,,,,,,
3,照之叔的儿子挺帅的,,,,,,,,
5,"得了十二指肠（溃疡）<img alt=""[热词系列_知识增加]"" src=""//i0.hdslb.com/bfs/emote/7496ff01fbac5304aa807732f1531d5986a0dfc3.png@100w_100h.webp""/>十二指肠可不是病",,,,,,,,
2,确实 我看半泽直树的时候就纳闷 这个大和田怎么感觉挺眼熟 前几天无意中重温了拉贝日记 发现就是这个香川照之。  然后查了查 发现这个人真的厉害， 首先是对二战的态度非常正直 + 学历非常高+ 三观很正+歌舞伎颜艺很好 +演技真的好很喜欢他,,,,,,,,
2,香川  堺雅人我最爱的日本男演员,,,,,,,,
2,"浩二、三浦  大小神剧必备鬼子<img alt=""[doge]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/bba7c12aa51fed0199c241465560dfc2714c593e.png@100w_100h.webp""/>",,,,,,,,
2,真心不容易啊！,,,,,,,,
2,长得样子感觉是矮版的林志玲老公,,,,,,,,
2,"视频做的很棒，了解到更多的香川叔觉得他更有魅力了<img alt=""[打call]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/431432c43da3ee5aab5b0e4f8931953e649e9975.png@100w_100h.webp""/>",,,,,,,,
1,浪客行剑心那个反派就是他演的好像,,,,,,,,
1,一口辛苦饭吃的很稳很负责。,,,,,,,,
1,愿意承认并演出二战日本侵华事实的日本演员，香川叔、西田敏行大叔这些，演技国宝级，本身三观也正,,,,,,,,
1,？？？？鬼子来了那个日本人居然是他？？？可以算双主角了呀,,,,,,,,
1,我很尊重这样的好演员,,,,,,,,
1,香川叔三观很正，和蔼可亲，还是东大毕业，虽然总在剧里演反派，但都没辜负观众们的期望。是一位好演员。,,,,,,,,
1,让我想起一部里番学院时间停止,,,,,,,,
1,不愧是我的爱豆~！,,,,,,,,
1,"毛猛达常务<img alt=""[OK]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/4683fd9ffc925fa6423110979d7dcac5eda297f4.png@100w_100h.webp""/><img alt=""[OK]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/4683fd9ffc925fa6423110979d7dcac5eda297f4.png@100w_100h.webp""/>",,,,,,,,
1,"最难受还是鬼子来了的结尾……<img alt=""[难过]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/a651db36701610aa70a781fa98c07c9789b11543.png@100w_100h.webp""/>",,,,,,,,
1,什么叫得了十二指肠？还有谁没有十二指肠？？,,,,,,,,
1,啊！我最爱的香川照之叔叔～,,,,,,,,
1,第一次看到是他的大和田，演的真好，反正我看了气的不得了,,,,,,,,
1,看半泽直树入坑，他的演技太深刻了,,,,,,,,
1,"大和田常务<img alt=""[2233娘_大笑]"" src=""//i0.hdslb.com/bfs/emote/16b8794be990cefa6caeba4d901b934a227ee3b8.png@100w_100h.webp""/>",,,,,,,,
1,香川是真正的演员，看他演的日剧，真的是演技炸裂。,,,,,,,,
1,99.9刑事专业律师,,,,,,,,
1,"最开始知道香川照之哥是《利家与松》里的丰臣秀吉<img alt=""[微笑]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/685612eadc33f6bc233776c6241813385844f182.png@100w_100h.webp""/><img alt=""[微笑]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/685612eadc33f6bc233776c6241813385844f182.png@100w_100h.webp""/><img alt=""[微笑]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/685612eadc33f6bc233776c6241813385844f182.png@100w_100h.webp""/>",,,,,,,,
1,非常喜欢的日本演员,,,,,,,,
1,龙马传里面其实也拍的不错,,,,,,,,
1,"哈哈哈-你是我的爷、我是你的儿！这骂人的话，中国人听了都乐，来来来，多骂俩句！<img alt=""[呲牙]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/b5a5898491944a4268360f2e7a84623149672eb6.png@100w_100h.webp""/><img alt=""[呲牙]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/b5a5898491944a4268360f2e7a84623149672eb6.png@100w_100h.webp""/>",,,,,,,,
1,好演员,,,,,,,,
1,超喜欢他的片,,,,,,,,
0,很喜歡香川叔,,,,,,,,
0,像不像黄渤,,,,,,,,
0,他是个日本人，他是个好人。,,,,,,,,
0,半泽直树来的，香川叔演技直接炸裂，鸡皮疙瘩都起来了，太惊艳了,,,,,,,,
0,正在看他演的小小的巨人，香川在里面演的气场很强大…感兴趣的小伙伴可以看看,,,,,,,,
0,"所以推荐一部香川照之出演的神作《被嫌弃的松子的一生》，虽然大部分人都看过了<img alt=""[doge-圣诞]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/1afb5eb96846e0876071eeecb47be95dbf55f08d.png@100w_100h.webp""/>",,,,,,,,
0,真是好演员,,,,,,,,
0,日本电影圈是左翼反战派当家右翼只能拍av所以不怕被封杀，现实里右翼那些键盘侠也不会敢找他麻烦。,,,,,,,,
0,香川照之长得其实算是有特色的那一类，看久了还觉得挺不错的,,,,,,,,
0,"浪客剑心真人版<img alt=""[OK]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/4683fd9ffc925fa6423110979d7dcac5eda297f4.png@100w_100h.webp""/><img alt=""[呲牙]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/b5a5898491944a4268360f2e7a84623149672eb6.png@100w_100h.webp""/>",,,,,,,,
