链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
https://www.bilibili.com/video/BV1DA411x7gc?from=search&seid=4392260229409422781,1937年南京被攻破的真实录像,1160000.0,2308.0,20201124.0,53000.0,9227.0,17000.0,2734.0,1560.0
评论点赞数,评论内容,,,,,,,,
10889,在愤怒日本鬼子的同时我希望大家还能记住一个人，这个人叫“拉达宾诺德·巴尔”，是出席远东国际军事法庭的一个印度法官，作为一个第三方法官，他主张无罪赦免28名日本战犯，巴尔坚持日本战犯“全员无罪”论。巴尔的根据是：检方所指控的“对和平的犯罪”及“对人道的犯罪”，都乃“事后法”的判决结果，根据“法的不溯及原则”，日本人应该是无罪的。巴尔的意见书长达1235页，为这些战犯辩解。这些战犯中除了熟知的东条英机和土肥原贤二， 还包括造成南京大屠杀的武藤章和松井石根。这个巴尔曾3次受邀访日，在各地宣传日本无罪论。在最后一次访日中，日本政府因其为“和平运动作出功勋”而授予勋章。2005年，靖国神社树起“巴尔显彰碑”为其立传颂德。我国法官梅汝璈据理力争，最后以6比5的微弱优势争取到这些战犯死刑。,,,,,,,,
4201,这种东西我看不了，我真的看见就哭。我三老爷爷，是国民党。老爷子一辈子认为南京大屠杀是他的责任。前半辈子一直是山东人，南京打输了。被传教士侥幸带走。去了东北。再也没回来。我无法像你们表达他哭的说都是因为我们不中用的场面。也无法想你表达一个老头快离开的时候，才把我爷爷叫过去的场景。,,,,,,,,
2344,请诸位搜一下“918爱国网”，里面有个分区是“日军暴行”。该分区十分详细记录了华北、华南、华东等地区的很多个农村和城市日军犯下的暴行，你甚至可能会发现你的老家也在这个记录中。,,,,,,,,
3959,本人南京人，小时候听过一个传闻，说是真正的老南京话已经不存在了，因为那些老南京人被屠杀光了，我们现在说的南京话都是很多外来人口方言的整合，不说真假，只是挺让人感慨的,,,,,,,,
1385,我真不懂为什么会有  精 日  精 美  这种人存在，没有抗日前辈英雄们的牺牲，何来我们平定安稳富强的祖国，一位中国公民最基本的义务就是维护国家统一和全国各民族团结！,,,,,,,,
2810,山川异域，不共戴天！,,,,,,,,
884,日本鬼子在侵略广东时，曾记载广东居民“残忍凶悍”，我视之为一种夸奖。对日本鬼子，就该残忍凶悍,,,,,,,,
788,有人说现在的日本人不是以前的日本人，是可以原谅的，请问你凭什么代替抗日先烈们原谅它们？是它们承认侵略过中国了吗？,,,,,,,,
560,为什么我在49秒的时候貌似还看到了一条狗？,,,,,,,,
517,一拳一个公知,,,,,,,,
1714,身为中国人，我无比自豪，同时也会教育自己的子女，不要崇洋媚外，祖国虽不完美，但一直在努力进步，试问这个世界上哪个国家和政府是完美的？只要利大于弊，就是极好的。新中国成立后那些一心想着移民变成外国人的就是汉奸！和平年代就想着移民，留学之后回国报效祖国除外，真打仗了，这种人还不第一个叛国当汉奸？,,,,,,,,
385,《第十联队战斗祥记》重叠相枕，力战而死之状，虽为敌人，睹其壮烈亦将为之感叹。曾使翻译劝其投降，应者绝无。尸山血河，非独日军所特有。虽然是日军评价台儿庄战役的国军，但是他们尽力了,,,,,,,,
305,一个到现在对华友好率只有14%全世界最低的鸟国现在还有人洗，欧洲普遍还都有40-60%，这些人能不能认清现实,,,,,,,,
297,忘战必危 好战必亡,,,,,,,,
252,他们至今还在否认，否认这件事，否认人数。,,,,,,,,
209,"小学上历史课，看到南京大屠杀的惨状，班里的男同学一个个义愤填膺，嚷嚷着什么长大要参军、还有说啥时候咱中国也来次东京大屠杀解解气，他杀咱三十万我们杀他四十万<img alt=""[OK]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/4683fd9ffc925fa6423110979d7dcac5eda297f4.png@100w_100h.webp""/>。可随着年龄的增长，又觉得根本不是那么回事儿，如果我们中国真的为了复仇去日本来次大屠杀，那我们和那些侵略者有什么区别？现在就指望什么时候日本全体人民能够认识到自己的民族犯过多大的错误，伤害了多少无辜的生命但最令人气愤的是现在的日本人根本就不知道自己的上一辈犯过的滔天罪行<img alt=""[捂脸]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/6921bb43f0c634870b92f4a8ad41dada94a5296d.png@100w_100h.webp""/>。疫情期间，日本死了一个名人，我忘记是谁了，然后日本人网上叫嚣让咱中国人出来道歉，我当时的反应就是tmd你不给咱道歉就不错了<img alt=""[生气]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/3195714219c4b582a4fb02033dd1519913d0246d.png@100w_100h.webp""/>",,,,,,,,
209,我华夏与大和民族有不共戴天之仇，其一日不悔当日之错，我中华少年必辈辈铭记！代代相传！若他日再犯，必踏平你野蛮之土！！！！！,,,,,,,,
158,不是说日本不承认南京大屠杀吗，如果是真的，这录像都能当证据直接甩日本人脸上了，你们去看日本历史教科书，你们会气死的,,,,,,,,
127,希望不要删不要删不要删!留着以后上课给学生看，谢谢,,,,,,,,
116,勿忘国耻！更要警惕那些公知和带路党！,,,,,,,,
109,喜欢战争的人没脑子，忘记战争的人没良心,,,,,,,,
97,我在大屠杀同胞纪念馆看到过日本人抓走中国男性，家里的女眷，母亲、妻子一边哭一边不敢动……真实影像。超级可怕。恨死了。,,,,,,,,
103,当年的我们，现在的亚美尼亚。没有大国崛起，哪来的小民尊严。,,,,,,,,
163,反法西斯不是要你学法西斯，勿忘国耻不是整天带民族节奏。毛爷爷能在抗战进行中就看明白的道理，为什么现在有些人就是不明白？,,,,,,,,
96,川军：宁可站着死，不可跪着生；宁为玉碎不为瓦全,,,,,,,,
108,.                 已点赞、收藏、关注、分享微博。                  感谢分享历史。                  现已收藏至收藏夹 「文学部」 。,,,,,,,,
64,君不见，汉终军，弱冠系虏请长缨！君不见，班定远，绝域轻骑催战云！男儿应是重危行，岂让儒冠误此生？况乃国危若累卵，羽檄争驰无少停！弃我昔时笔，着我战时衿，一呼同志逾十万，高唱战歌齐从军。净胡尘，誓扫倭奴不顾身。,,,,,,,,
64,我的原子弹😭😭我的原子弹😭😭我的原子弹😭😭我的原子弹😭😭我的原子弹😭😭我的原子弹😭😭我的原子弹😭😭我的原子弹😭😭我的原子弹😭😭,,,,,,,,
66,看到从飞机上下来的日本军官向其他人微笑敬礼，第一感觉就是 日本 拘小礼而无大义  加上前两天的核废水事件  这个国家不行,,,,,,,,
50,"弹幕里都什么玩意，竟然还有怀疑为啥是彩色的<img alt=""[疑惑]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/b7840db4b1f9f4726b7cb23c0972720c1698d661.png@100w_100h.webp""/>",,,,,,,,
49,我们永远都记得那为国捐躯的无数华夏儿女我们都为那死于大屠杀的无辜百姓深感悲痛有人说那是国仇，我理解，但那也是永远报不了的仇。正因我们憎恨如此非人的暴行，我们永远不能变得像侵略者一样。原不原谅只有上过战场的老兵们有资格发言，我只想对他们说如今祖国繁荣而富强。30万人是笔账，我们不会找你算账，你也偿还不起。同志们，落后就要挨打，我们理应为世界和平不断努力！,,,,,,,,
51,真想进视频里杀敌,,,,,,,,
40,总有人看动漫看着看着就忘记自己是哪国人了,,,,,,,,
36,"<a data-usercard-mid=""608953859"" href=""//space.bilibili.com/608953859"" target=""_blank"">@南京师范大学 </a>",,,,,,,,
43,一个哥哥去日本留学，有个日本人问中国人是不是恨他们，我哥哥想想说是的，那个日本人说你觉得成吉思汗是不是伟大的人，我哥哥说是啊，他说你可知道他杀多少人，跟日本人有何区别？我哥哥当时嘴笨说不出来话。,,,,,,,,
27,"“南京大屠杀”几十万人被当成屈辱的“玩具”一样戏弄杀害，每个参与的“小鬼子”都面带邪恶的微笑<img alt=""[生气]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/3195714219c4b582a4fb02033dd1519913d0246d.png@100w_100h.webp""/>",,,,,,,,
32,我期待中日友好往来并不妨碍我恨日本侵略者，两波人两码事，不一棒子打死,,,,,,,,
26,"这个 up 之前发的视频都是爱情公寓街边小报这种视频。rcep签订那天(11月15日)发了一条洗白抗美援朝美军的视频。最近开始批量发抗日战争的视频。居心何在不用我多说了吧。<img alt=""[微笑]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/685612eadc33f6bc233776c6241813385844f182.png@100w_100h.webp""/>",,,,,,,,
18,我好像看到一个小孩子被日本鬼子拖着走。。。狗日的日本鬼子,,,,,,,,
17,"勿忘国耻，牢记使命！为振兴中华而奋斗<img alt=""[微笑]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/685612eadc33f6bc233776c6241813385844f182.png@100w_100h.webp""/>",,,,,,,,
17,日寇当遭千刀万剐！！！！！,,,,,,,,
20,帝国主义和法西斯主义永远是各国人民公敌！,,,,,,,,
16,可恨的是南京大屠杀的发起者朝香宫鸩彦亲王战后没有受到任何审判，脱离了皇籍变成平民，而且活了九十多岁。日本的屠杀仇恨，永远不忘！！！,,,,,,,,
22,抗日战争片不能停，一定要让下下下一代记住有那么一个地方能丢广岛时候决不妥协！,,,,,,,,
23,勿忘国耻的目的是警醒未来，为了提醒我们落后要挨打。骂鬼子没错，骂精日也没错，就算是相信原子弹下无冤魂也是合理的个人见解。但是，千万，不要被所谓的“爱国”营销号带偏。你说无法原谅日本政府没问题，但拿日本人疫情援助我们的标语改成不共戴天，不离谱吗？别忘了，我们，中国，是一个反战的国家，不要因为营销号的煽动背离自己的价值观,,,,,,,,
13,"愿逝者安息，日本右翼不得好死<img alt=""[微笑]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/685612eadc33f6bc233776c6241813385844f182.png@100w_100h.webp""/>",,,,,,,,
