链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
https://www.bilibili.com/video/BV1Fp4y167gu?from=search&seid=4392260229409422781,乌合麒麟新作，靖国神社被利剑击穿，日本：中国应该道歉,1392000.0,6298.0,20201215.0,103000.0,8181.0,7555.0,1844.0,2720.0
评论点赞数,评论内容,,,,,,,,
40566,乌合麒麟：“中日关系被不被破坏主要在日本政府不在我们。”,,,,,,,,
21526,"他们不反战，只反战败；他们不后悔生灵涂炭，只后悔没赢得战争<img alt=""[打call]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/431432c43da3ee5aab5b0e4f8931953e649e9975.png@100w_100h.webp""/><img alt=""[打call]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/431432c43da3ee5aab5b0e4f8931953e649e9975.png@100w_100h.webp""/>说的太好了",,,,,,,,
25928,上一个要求道歉的是莫里森，已经怂了，这次等华春莹把这张图片在推特上置顶，我再去支持一波,,,,,,,,
18146,"自从莫老狗要求道歉一事起，麒麟就开始彻底放飞自我了<img alt=""[妙啊]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/b4cb77159d58614a9b787b91b1cd22a81f383535.png@100w_100h.webp""/>",,,,,,,,
35328,"某国漫画映射军国，无心，可以。我国漫画反抗军国，故意，不行。<img alt=""[怪我咯]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/07cc6077f7f7d75b8d2c722dd9d9828a9fb9e46d.png@100w_100h.webp""/>",,,,,,,,
25258,"微博上竟然还有人说麒麟大佬画这幅画是“破坏中日友好关系”，吐了<img alt=""[吐]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/06946bfe71ac48a6078a0b662181bb5cad09decc.png@100w_100h.webp""/>",,,,,,,,
12721,旅顺大屠 杀（公元1895年）雾社大屠 杀（公元1930年）上海一.二八大屠 杀（公元1932年）平顶山大屠 杀（公元1932年）新宾大屠 杀（公元1932年）西宝屯大屠 杀（公元1932年）榆城大屠 杀（公元1933年）临江大屠 杀（公元1933年）依兰大屠 杀（公元1934年）老黑沟大屠 杀（公元1935年）天津大轰炸（公元1937年）金山卫大屠杀（公元1937年）上海大轰炸（公元1937年）罗径大屠 杀（公元1937年）阳高大屠 杀（公元1937年）苏州大屠 杀（公元1937年）南京大轰炸（公元1937年）南京大屠 杀（公元1937年）武汉大轰炸（公元1938年）重庆大轰炸（公元1938年）成都大轰炸（公元1938年）延安大轰炸（公元1938年）兰州大轰炸（公元1939年）潘家峪大屠 杀（公元1941年）上饶细菌战（公元1942年）厂窖大屠 杀（公元1943年）桂林七星岩大屠 杀（公元1944年）距统计，抗日战争直接导致4500w中国人伤亡，总计2亿中国人受到战争损害！但某些人眼里，它只看得见那两颗原子弹。,,,,,,,,
9355,我们为什么道歉，因为我们说出了你们曾经做的事？,,,,,,,,
15514,日本每年都为原子弹的死难者举行祈祷，还找到了原子弹的投放人，美国飞行员保罗.蒂贝茨，要求他向日本道歉。但这位美国飞行员回应很霸气，更解气。保罗.蒂贝茨说：很多人觉得我投下原子弹会受到良心的谴责，但是我没有。因为不投下原子弹还会有更多的人丧命。我去过南京，看到过南京悲惨的纪录片，日本手段太残忍！日本人只是看到投下了原子弹，没想过为什么会投下原子弹，如果可以，我还想再投一颗！,,,,,,,,
11173,"长崎和广岛怎么可能发生过核爆炸嘛，这不是日本在装可怜么<img alt=""[抠鼻]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/cb89184c97e3f6d50acfd7961c313ce50360d70f.png@100w_100h.webp""/>",,,,,,,,
5136,"艺术来源于现实，坐等<img alt=""[OK]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/4683fd9ffc925fa6423110979d7dcac5eda297f4.png@100w_100h.webp""/>",,,,,,,,
17291,我们喜欢日本动漫，不代表全盘喜欢日本文化，中华文化的糟粕都要摒弃，日本文化糟粕那么多，我特么暴打精日,,,,,,,,
8609,文案不应该给艺术家帖“政治画家”标签，艺术家就是艺术家，为乌合麒麟👍,,,,,,,,
3594,"啧啧啧鬼子就是爱装白莲花，真不知道是被洗脑还是真的毫无三观<img alt=""[抠鼻]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/cb89184c97e3f6d50acfd7961c313ce50360d70f.png@100w_100h.webp""/>",,,,,,,,
5713,山川异域，不共戴天,,,,,,,,
2282,日本轰炸了珍珠港，美国向他要道歉了吗？美国送了日本李梅烧烤，把男孩吃撑了胖子。—————————————————————学会了吗？,,,,,,,,
2785,乌合麒麟背后有一群有良知良心的人支持！,,,,,,,,
1867,什么叫敬畏强者？就日本也配？那叫欺软怕硬,,,,,,,,
1396,什么时候两国关系会被一幅画击穿了？如果真的击穿，说明本来就是穿的，无非加了一层粉饰的纸罢了,,,,,,,,
1230,该道歉的是日本,,,,,,,,
2045,"小鬼子哪来的b脸要求别人道歉？？<img alt=""[疑惑]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/b7840db4b1f9f4726b7cb23c0972720c1698d661.png@100w_100h.webp""/>",,,,,,,,
2439,小日本每天都在想吃核弹？,,,,,,,,
1350,不要给人定性成什么政治画家。学学人家西洋人，要叫自由画家，独立画家。,,,,,,,,
808,乌合麒麟要理你们一下，都忙不过来了要真你们说什么就道歉，那乌合麒麟先生就什么都不用干了。,,,,,,,,
739,🤮炸你个厕所就破防了？，小日本这是做贼心虚了？,,,,,,,,
693,"麒麟杀疯了<img alt=""[胜利]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/b49fa9f4b1e7c3477918153b82c60b114d87347c.png@100w_100h.webp""/>",,,,,,,,
425,"讲道理，靖国神社的存在本身就tm离谱<img alt=""[嫌弃]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/de4c0783aaa60ec03de0a2b90858927bfad7154b.png@100w_100h.webp""/>",,,,,,,,
402,我们和日本的仇恨其实是真的大，国仇的那种，对付日本需要的是打的灭国，换其他地方建国才能把仇恨消了，日本可不是单单只有抗日时期的仇，整个中国历史的后段部分，日本就没少入侵过沿海城市，只是一个朝代消一次仇而已，不能完全认为事件没发生。对于日本打服一点用都没，装孙子他们可会了，只要中国一弱，绝对又会侵略，这是他们一直传承下来的思想，中国的地图早被他们看重了，二战时期没成功只会憋着下次。日漫日风还勉强，洗日本的人就是汉奸而已。,,,,,,,,
265,乌合麒麟应该再画一个：二战澳大利亚军队用残忍手段困杀日军的题材，让日澳互咬,,,,,,,,
211,等什么时候该拆的神社拆了，该审的战犯们审了，该洗心革面或者滚出地球的战犯后代们洗心革面了或者滚出地球了，该放的琉球放了，该赔的赔款赔了，该道的谦道了，被美国全盘接收的731没了，该被其他战神国驻军的地方驻了再说,,,,,,,,
230,做的事不承认还不让别人说，有点必脸不？,,,,,,,,
246,我有点担心乌合麒麟的安危，几年前有个女记者一直被威胁，不堪重负自杀了,,,,,,,,
202,从今以后，麒麟作品合格的标准确立了：对方国家要求道歉,,,,,,,,
177,我记得公祭日那天，乌合麒麟发出这个漫画后。下面有一个网友评论印象挺深的。他说希望乌合麒麟不要做破坏中日关系的事情。  看完觉得挺讽刺的，什么时候作为一个被侵略的国家，想要表达自己的对于历史的愤怒，变成了破坏和他国建交。   明明寝食难安的应该是凶手，为什么活得小心翼翼的却是伤害者呢,,,,,,,,
148,战犯神厕还有中国人去洗？？？？？？？？？？？？？？？,,,,,,,,
161,小日本是给脸不要脸,,,,,,,,
143,“九世犹可以复仇乎？虽百世可也。”,,,,,,,,
183,希望有一天能用核弹送它们下去给被屠杀的同胞道歉,,,,,,,,
166,"小日本真恶心<img alt=""[呲牙]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/b5a5898491944a4268360f2e7a84623149672eb6.png@100w_100h.webp""/>",,,,,,,,
146,所以，对于日本跟着美国这么跳，我是有些庆幸的，因为我们还有机会,,,,,,,,
102,"我觉得日本人懂的都懂，就是会装，装白莲花<img alt=""[吐]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/06946bfe71ac48a6078a0b662181bb5cad09decc.png@100w_100h.webp""/>",,,,,,,,
102,"明摆着是“历史虚无主义”，“中日友好关系”不代表我们会不计前嫌，我们不搞复仇不代表我们会忘记曾经小日本的所作所为<img alt=""[无语]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/44667b7d9349957e903b1b62cb91fb9b13720f04.png@100w_100h.webp""/>",,,,,,,,
108,靖国神厕本来就是藏污纳垢的地方，日本从来不承认错误没有德国的态度！,,,,,,,,
88,日本就是欺软怕硬的货色，被毛子拉去西伯利亚挖土豆，被美帝扔了两颗蘑菇弹，结果到现在日本在这两个面前都硬不起来。,,,,,,,,
108,请选择道歉物品：原子弹、氢弹、燃烧弹请选择道歉方式：空爆、钻地、地毯请选择道歉地点：东京、关东、本州、四岛请选择道歉时间：立刻、马上、现在,,,,,,,,
73,"日本动不动就上微博热搜，真讨厌<img alt=""[无语]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/44667b7d9349957e903b1b62cb91fb9b13720f04.png@100w_100h.webp""/>",,,,,,,,
66,日本？？？？哈哈，血仇你认为就真的这样结束了,,,,,,,,
63,祭拜战犯？倭寇永远是是倭寇。虚伪的衣冠禽兽而已,,,,,,,,
66,即使如此国内依旧还有人对倭寇抱有好感，理由总是有千千万,,,,,,,,
47,我们应该放下仇恨？那也得看对方不是，对方总想着卷土重来，不知悔改，一个个的就想着把脚踩在我们的头上，我们凭什么要对他们笑脸相迎，对方是帮只怕利剑不懂感恩的畜牲，我们凭什么要以人相待，一味的退让除了助长他们的嚣张气焰以外能有什么用？,,,,,,,,
47,靖国神厕,,,,,,,,
47,请不要叫麒麟政治画家 别给他套帽子,,,,,,,,
40,日本要为核污水入海道歉,,,,,,,,
43,"郑强教授就已经点明，它们这么做是经过抉择的，我们与其无能狂怒，不如好好建设国家，铭记历史缅怀先烈，至于如何原谅它们，就交给未来一代去决定。但愿孩子们会有我们今天的好脾气。<img alt=""[加油]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/c7aaeacb21e107292d3bb053e5abde4a4459ed30.png@100w_100h.webp""/>",,,,,,,,
36,"天杀的日本人   太欺负人了   不道歉也就算了  自己还装成 受害者<img alt=""[生气]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/3195714219c4b582a4fb02033dd1519913d0246d.png@100w_100h.webp""/>",,,,,,,,
