链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
https://www.bilibili.com/video/BV1rt411x7DE?from=search&seid=4951455791367003205,他救了25万中国人的命…,138000.0,2009.0,20190105.0,15000.0,1244.0,2591.0,226.0,300.0
评论点赞数,评论内容,,,,,,,,
4779,拉贝，虽然第一次听说你的名字，但我还是要感谢你，你不仅救了数以万计的中国同胞们，还清楚地记录下日军的罪行。今天是你的祭日，我们在此想跟你说一声谢谢。,,,,,,,,
2103,"向一九三七年十二月14日建立南京国际安全区的国际友人们说声谢谢<img alt=""[2233娘_大哭]"" src=""//i0.hdslb.com/bfs/emote/476a2a60f6e337b8c0697a592e0aa82781f6b33b.png@100w_100h.webp""/>",,,,,,,,
2338,所有人都知道《辛德勒的名单》，但我身边没有一个人知道拉贝先生,,,,,,,,
1288,不止拉贝先生，还有三位国际友人！,,,,,,,,
993,他的孙子来求援了……,,,,,,,,
772,我来了！来自2020年，拉贝的孙子后来成了医生，在疫情期间请求援一组只有中国才有的药品，现在我们已将药品赠送到他本人手中。,,,,,,,,
573,我记得当时他那个地方都挤满了人,,,,,,,,
630,"其实拉贝能保护到那么多人免受日军侵犯的主要原因之一是他当时加入了纳.粹党，只不过只是明面上的，他痛恨当时的政党，仅是借德日轴心国的合作关系来使日军不敢进犯安全区，然后被一些德棍拿来给纳.粹洗白白<img alt=""[吃瓜]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/4191ce3c44c2b3df8fd97c33f85d3ab15f4f3c84.png@100w_100h.webp""/><img alt=""[吃瓜]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/4191ce3c44c2b3df8fd97c33f85d3ab15f4f3c84.png@100w_100h.webp""/><img alt=""[吃瓜]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/4191ce3c44c2b3df8fd97c33f85d3ab15f4f3c84.png@100w_100h.webp""/>",,,,,,,,
587,陆川拍摄的《南京！南京！》比同时期的《拉贝日记》更残酷，比《金陵十三钗》视角更大，这三部影片都值得一看。,,,,,,,,
388,告诉大家一件事情，就是外国宣教士在以前给我们中国建立的医院和诊所有820间，外国宣教士在中国每建一座医院，就放一个十字架，这就是为什么我们中国的医院外面会有一个十字架标记了,,,,,,,,
316,在战争中还有做出这样善举的人真的很难得，谢谢你！世间有极恶也有极善之人，如雨果如拉贝。望这个世界和平长久！战争中的受苦难之人。。愿上苍保佑。,,,,,,,,
