链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
https://www.bilibili.com/video/BV1yt411v7Aq?from=search&seid=14747760683923945947,【南京】《南京！南京！》中日本鬼子的屠杀暴行！,66000.0,715.0,20181213.0,658.0,81.0,524.0,228.0,240.0
评论点赞数,评论内容,,,,,,,,
374,很多日本人主观地认为我会为轰炸广岛内疚，生活在良心的谴责中，事实上，我为什么要内疚？我亲眼看过南京大屠杀的记录片，记录片里日本兵用刺刀把胎儿从中国孕妇肚子里挑出来的暴行并不比我向他们扔原子弹仁慈多少，日本人只强调他们挨了原子弹轰炸，却没有想过为什么挨原子弹。——保罗·蒂贝茨(轰炸广岛的飞行员),,,,,,,,
417,所以日本挨两颗原子弹，一点都不冤。,,,,,,,,
177,原子弹下无冤魂,,,,,,,,
86,弹幕基本上全在说自己的同胞怎么怎么麻木，我真的想给这帮人一巴掌,,,,,,,,
70,中国不会亡！,,,,,,,,
128,一群中国人骂日本当年犯下的暴行，引得一部分“中國人”不高兴了。真实，日杂全该死，谢谢。,,,,,,,,
56,九一八的时候，我逃了。逃到关内，他们说日本人不会追来。日本人过了卢沟桥，越过北京城了。我以为，总会有人能挡住他们。后来，一路追到了上海。1937年，日本人打进了南京。头被砍下的前一刻，回头看已经没有人了。头掉在地上的时候，听见有人说:放下武器，相信日本，日本人会优待这些顺从的中国人。数十年之后，依然还有人这样说。,,,,,,,,
80,原子蛋下的确有冤魂，但是与日本人无关，不要因为日本普通民众是正常的，成年男鬼子参军，小鬼子接受军国主义思想教育，甚至在战争后期直接参军或者进入兵工厂，女鬼子支持丈夫，老鬼子在家没啥事，但是基本上都经历过对清帝国的战争和掠夺，所以说，膏药禽兽都是帮**，包括现在装傻的小小鬼子,,,,,,,,
42,中国军队是怎么对待俘虏的，日本军队是怎么对待俘虏的，从这点就可以看出哪方是人哪方是chu sheng,,,,,,,,
45,为什么会有这么多人说 日本人民群众无罪  那些日本兵也是无辜的 都是****的锅    美国原子弹太过分   为什么他们可以这样说呢 原因是  因为当初日本兵杀的不是他们  别人打断的腿也不是他们的   所以他们可以大度的去替那些死去的人原谅日本洗白日本,,,,,,,,
39,这个真看不下，心里难受……走了走了到时日本不投降就好了，全部登陆，把它灭了多好,,,,,,,,
