链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
2,守得住，守得住，现在谁也不敢来欺负我们了,,,,,,,,
2,致敬！,,,,,,,,
2,国军，解放军莫名泪目,,,,,,,,
1,BGM：《有一天-马上又（建党伟业主题曲）》,,,,,,,,
1,我们有导弹了，我们拥有扬了小日本的能力了,,,,,,,,
2,"沈阳人过来点赞<img alt=""[鼓掌]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/895d1fc616b4b6c830cf96012880818c0e1de00d.png@100w_100h.webp""/>",,,,,,,,
2,他们很多人十几岁就死在战场上，没有子女，没有血脉。但是我们都是他们的后代,,,,,,,,
2,应该有红军的,,,,,,,,
1,求bgm是什么？,,,,,,,,
1,国破山河在,,,,,,,,
1,英雄，一路走好！,,,,,,,,
1,十世之仇，犹可报也！,,,,,,,,
1,"这盛世，如您所愿<img alt=""[大哭]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png@100w_100h.webp""/>",,,,,,,,
1,致敬,,,,,,,,
5,即便是亿万枚【亿万万兆级核弹】也无法净化倭寇杂奴犯下的滔天罪孽和累累罪行。,,,,,,,,
1,"山河犹在，国泰民安<img alt=""[大哭]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png@100w_100h.webp""/>你们回来看看啊！",,,,,,,,
1,建党伟业片尾曲,,,,,,,,
1,"<img alt=""[支持]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/3c210366a5585706c09d4c686a9d942b39feeb50.png@100w_100h.webp""/><img alt=""[支持]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/3c210366a5585706c09d4c686a9d942b39feeb50.png@100w_100h.webp""/><img alt=""[支持]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/3c210366a5585706c09d4c686a9d942b39feeb50.png@100w_100h.webp""/><img alt=""[支持]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/3c210366a5585706c09d4c686a9d942b39feeb50.png@100w_100h.webp""/>",,,,,,,,
1,看着右边的装备，头盔，背包，莫名多出一种安全感和自豪感，今非昔比了！,,,,,,,,
1,封面发一下,,,,,,,,
1,都是中国军队，都是为了保护中华民族,,,,,,,,
1,都是保家卫国,,,,,,,,
1,瞬间泪目,,,,,,,,
1,左边的兵哥哥再那时已经算装备很好了吧？基本什么都备齐了,,,,,,,,
1,为抗日作出贡献的都是英雄 他们才是我们能崛起的根基，愿中华儿女永记于心,,,,,,,,
1,评论区真是和谐。我才说了点真话，就被黑了。,,,,,,,,
0,国家何时报仇？我就问一句？别跟我说什么要为人类命运共同体放下仇恨。就算不说要灭族，日本政府总要为此付出代价吧？,,,,,,,,
1,勿忘国耻牢记历史吾辈应当自强不息！,,,,,,,,
0,"<img alt=""[笑哭]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/c3043ba94babf824dea03ce500d0e73763bf4f40.png@100w_100h.webp""/>想要图片，从哪里可以找到",,,,,,,,
0,我想要这些图片,,,,,,,,
5,up，注意你的立场。解放军来自共产党领导的人民军队。可不是那支无能的国军。,,,,,,,,
5,白军在苏区搞三光的时候，好多屠南京的鬼子兵还在穿开裆裤,,,,,,,,
0,把刮民党的军队和人民解放军放在一起可真行,,,,,,,,
0,反贪污反腐败反官僚主义,,,,,,,,
0,与日军做战，被子弹，弹片击中造成的伤口我见过，我外公和他弟弟，我外公右手残疾，机枪手，打过雪峰山会战，他弟弟脸上，腹部都有贯穿伤，打过武汉保卫战还有我没见过的1949年去台湾的他哥哥，腿残疾了，炮兵，据说是在卢沟桥受的伤？,,,,,,,,
0,战术国防系啊，那没事了,,,,,,,,
0,几百万国军,,,,,,,,
0,台湾同胞要是看见这个怎么想?赶紧回归吧！别搞台独了 咱都是中国人,,,,,,,,
0,歼20出战,,,,,,,,
