链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
https://www.bilibili.com/video/BV1vW41187cY?from=search&seid=4951455791367003205,命如草芥！奥斯维辛集中营110万人集中被杀，更甚南京大屠杀！,122000.0,617.0,20171222.0,1714.0,342.0,797.0,650.0,160.0
评论点赞数,评论内容,,,,,,,,
1126,奥斯维辛没有什么新闻……,,,,,,,,
619,逝者安息，我去过奥斯维辛的二号-伯克瑙营，进去就是一种肃杀气氛，让人心里很难受，愿世界和平！,,,,,,,,
444,可惜，现在还有很多人崇拜纳粹，让我想起大量华人在国外被杀害,,,,,,,,
207,侵略者没有正义的！成王败寇这种说法对于被侵略者来说就是个笑话谁愿意被侵略自己的土地谁愿意自己家人朋友被侵略者一个一个杀死？人道主义懂？南京大屠杀里面那些日军是正义的？？别开玩笑了，某些人是帝王学电视剧看多了吧！被侵略永远不是件好事，你要说谁强谁就能随便侵略别人土地随便杀别的国家人可能吗？真有这种想法的人八成就是中二病加键盘侠，真要打仗这种人第一个跑的或者第一个叛变的→_→,,,,,,,,
113,人类的文明是沾满了血的,,,,,,,,
111,希特勒真的该千刀万剐,,,,,,,,
327,标题就很没水平，更甚南京大屠杀，还能有那个更惨之说？这种悲剧拿来比较不好吧,,,,,,,,
78,这座集中营被解放时有的看守被解救的集中营受害者活活扔进了焚尸炉里！所以真的有报应只是时间问题！,,,,,,,,
51,其实鬼子在亚洲屠杀的人难以计算！光菲律宾就说有几十万！！,,,,,,,,
56,都挺好的。。。但标题能改改吗？对于残忍掠杀、侵略名族这种事，还有“谁比谁更甚”的区别吗？,,,,,,,,
40,南京大屠杀死亡人数不止30万吧。。,,,,,,,,
43,世界啊，珍惜我们和平的时候，别做网络喷子好吗？,,,,,,,,
67,标题一点毛病都没有，有些人何必要咬文嚼字,,,,,,,,
19,看得真是让人压抑害怕，逝者安息，愿你们在天堂幸福，愿世界多些和平与善良，少些战争与罪恶,,,,,,,,
28,美国人杀印第安人犹太人杀阿拉伯人就没人说……,,,,,,,,
20,日本人不止杀了南京！还屠杀了越南！菲律宾,,,,,,,,
34,然而德国的道歉态度令人满意，日本的理直气壮让人愤怒。说到底，中国还是太弱了。,,,,,,,,
16,当年土豆网还没凉的时候，看过集中营的历史视频及图片，各种。。。不说了，自己想象吧,,,,,,,,
14,被烧得通红的焚尸炉上，雏菊花在怒放。,,,,,,,,
31,为啥要和南京大屠杀比啊，难道比南京大屠杀死的人更多是一件很吸引眼球的事吗,,,,,,,,
22,各位戏精能不能不要加戏，这标题也是喷点，戏真多,,,,,,,,
13,人类从历史中学到的唯一教训，就是人类无法从历史中学到任何教训。,,,,,,,,
12,希望你们这些年轻人能够正确的认识历史，对于希特勒这种恶魔，大家还是理智对待,,,,,,,,
11,纳粹主义和日本****真的是一点苗头都不应该出现,,,,,,,,
11,我这种脑补能力强的去那里可能会吓死。。。,,,,,,,,
50,逝者安息，愿世界和平!大家送我上去,,,,,,,,
13,法西斯垃圾,,,,,,,,
9,这是拍穿着条纹睡衣的男孩的拍摄地好像,,,,,,,,
13,"一说到纪念南京大屠杀，某些台港人就会说""为么么不悼念灾害和**死的几千万人，中国人杀中国人更多""？怎么应对这种人？",,,,,,,,
8,职 业 教 育 中 心,,,,,,,,
8,这个没必要和南京比，都是人类历史的悲剧，没有谁比谁更惨,,,,,,,,
7,每次看到这种视频就怀疑那些吹捧纳粹的人是不是脑子被驴踢了,,,,,,,,
7,不会表达我的意思，希望不被曲解。1.惨的不是现在衣食无忧的我们，我们没资格替他们拥有那些同情2.比起比惨，关注中国有没有国力强盛，为中国崛起做贡献才是我们该做的，而不是拿我们国家死多少人bb3.还原历史就行，无论是南京大屠杀还是奥斯维辛都是人类共同的苦难，不会因为谁更惨死的人更多获得更多的同情，争谁是那个“最惨”毫无意义，阿婆主随手一写，也请随耳一听4.人类希望被同情的自怜心理能理解，但中国不需要同情，觉得自己惨请说自己的中国好故事，别扯南京大屠杀，有资格说惨的只有当事人及其家属而不是“中国人”或者“南京人”。我们在一个国家，我们理解他们的苦难，不代表我们可以代为接收对他们的同情和缅怀6.勿忘国耻，好好毒树报效祖国才是最好的悼念，而不是撕逼惨不惨5.我爱中国，我希望中国更加强大。,,,,,,,,
9,集中营就那么多，可日本人的屠杀可数不清,,,,,,,,
6,弹幕里发“元首好“的认真的吗？当时德国打过来的话，估计没你了,,,,,,,,
10,真想把希特勒掐死一百万遍,,,,,,,,
5,这些问题都还是挺敏感的，，，哎，，法西斯军国主义的罪孽。,,,,,,,,
5,想起了以前看的电影《美丽人生》,,,,,,,,
5,给纳粹开脱的人无异于是法西斯的帮凶，全人类的公敌！,,,,,,,,
7,英法要负很大一部分责任，凡尔赛条约对德国人是巨大的耻辱和侮辱，日耳曼人发泄心中怒火只是时间的问题。一战后英法美吃相太难看，可以说二战不可避免。,,,,,,,,
10,"你们真厉害，都尼玛是高材生，惹不起惹不起<img alt=""[小电视_无语]"" src=""//i0.hdslb.com/bfs/emote/fbd12affebfdaadd3d721bffdb685a6b1ee71219.png@100w_100h.webp""/>",,,,,,,,
4,扑面而来的压迫感,,,,,,,,
4,忘了是在哪个集中营了，有犹太人在集中营的墙上刻了这样的话：如果上帝真的存在，那他应该请求我的原谅。,,,,,,,,
4,为什么没有人说美洲集中营,,,,,,,,
5,愿逝者安息,,,,,,,,
3,高佑思的祖母就是经历过的。。。。。。,,,,,,,,
3,战争，真的可怕,,,,,,,,
3,邹菊花依旧怒放。,,,,,,,,
