链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
https://www.bilibili.com/video/BV1pJ411C7Mx?from=search&seid=14471170896752309338,【街头采访】今天，为遇难同胞默哀！82年，从未忘记,195000.0,833.0,20191213.0,点赞,8304.0,1897.0,1778.0,380.0
评论点赞数,评论内容,,,,,,,,
2456,"<span class=""stick"">置顶</span>今天，是我国第六个法定的南京大屠杀死难者国家公祭日我们以国家的名义祭奠30万遇难同胞铭记，不只是民族的悲怆还有落后必亡的训诫纪念，从不为宣扬复仇的怨念只为许下复兴的心愿：吾辈当自强",,,,,,,,
1018,http://www.cngongji.cn/m/如果大家有时间，希望大家去公祭网敲敲钟，献上花圈，点上一支蜡烛。今天，三十万南京人要回家！转,,,,,,,,
742,挺难的因为我发的这条动态被人追着骂仨月了,,,,,,,,
619,看过很多次的日寇侵华的纪录片，但是你没办法看下去，那些行为不管什么时候都不是人能做出来的。2000多万人就那么没了，这里边有多少女人被强暴，多少人被强迫为自己挖死人坑，多少小孩还没见过花开就被鬼子杀死。泱泱华夏五千年，此为第一大辱。,,,,,,,,
889,卧槽，里面竟然有个人连30万都不知道。 公祭日不知道就算了。说是10万，你怕是学的鬼子教材吧。,,,,,,,,
430,我喜欢看日本动漫，但是永远不会对这个国家抱有好感，因为我知道小日本对中国充满狼子野心，从古至今。不知道选择原谅和舔日的人是什么思想……,,,,,,,,
268,我们的责任和使命之一就是不能让这样的情况重演，保证自己死后五十年也不发生。,,,,,,,,
177,日本空袭南京始于1937年8月15日淞沪会战，与南京守备部队接战始于12月3日，无差别屠杀平民始于12月13日，持续六周。而中国在15年抗日中因战争导致的死亡，达数千万，所以其实每隔六周，中华大地上都会有一次南京大屠杀级别的牺牲。南京是展现给全世界看的冰山一角，藏身在平静水面下的法西斯的恶行，需要摆在阳光下暴晒才能避免下一次的人间惨剧。,,,,,,,,
245,现在日本政府还死不承认，教他们的孩子说这不是假的。,,,,,,,,
150,铭记历史，勿忘国耻。,,,,,,,,
