链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
https://www.bilibili.com/video/BV11s411b7PE?from=search&seid=14747760683923945947,名古屋市长竟力挺APA 再度否认南京大屠杀！,62000.0,1334.0,20170123.0,878.0,418.0,683.0,327.0,660.0
评论点赞数,评论内容,,,,,,,,
2048,所以对那些说美国原子弹扔少的人，我们应该理解,,,,,,,,
1628,我真的确信了，原子弹下，无 冤 魂。,,,,,,,,
978,不要脸至极。我打了你一巴掌，你没有回打我。就证明我没打过你。什么狗屁理论？看看吧，以德报怨得到的是什么,,,,,,,,
425,很多日本人主观地认为我会为轰炸广岛内疚，生活在良心的谴责中，事实上，我为什么要内疚？我亲眼看过***的记录片，记录片里日本兵用刺刀把胎儿从中国孕妇肚子里挑出来的暴行并不比我向他们扔原子弹仁慈多少，日本人只强调他们挨了原子弹轰炸，却没有想过为什么挨原子弹。                                                         ——保罗·蒂贝茨,,,,,,,,
335,其实美国并没有扔核弹，因为核弹扔了之后是会有辐射的，现在广岛和长崎还有很多人住，所以美国没有扔核弹，日本这么做是为了博取世界同情心。,,,,,,,,
235,日本网民们，就该事件的评论整理————————————————————koy***** 頑張れアパホテル！加油，APA酒店！（赞成2308 反对142）駄目田懲悪 頑張れアパホテル加油，APA酒店 （赞成1972 反对119）mas***** アパホテルのフロントでも８００円で販売してるみたいやな。APA酒店前台好像800日元在**这本书（赞成1449 反对84）mak***** 真実を国民に知られることが、よほど怖いらしい。事实的真相为国民所知，好像（中国政府）相当害怕。（赞成921 反对37）aho***** これで常識のない中国人が来なくなると思うとうれしいね。一想到没有常识的中国人不来就高兴（赞成918 反对50）try***** 国はデカイけど 了見は狭いな。国家很大，但是没有见识啊。（赞成819 反对39）har***** ( ^ω^ ) 耐震偽造なんかより中国人の***の偽造のほうが問題！！頑張れアパホテル！比起伪造耐震数据（日本国内发生的，曾引起巨大关注）等事情，中国人伪造***更是问题！加油APA酒店！（赞成837 反对48）ika***** APAはだいぶ前からこの本とか置いてるわけで、情報統制バッチリの中国で何故今って感じですね。何があるのかな？また破壊を伴うデモの計画でもあるんですかね？APA很早以前就放置这本书了，完全情报管制的中国为什么现在才说呢，有什么内幕吗？另外有伴有破坏行为的游行的计划吧？（赞成702 反对29）vip***** アパホテル大丈夫か？心配だわ...中国政府もやり方が酷いわ。APA扛得住吗？担心。中国政府的做法真过分啊。（赞成637 反对38）,,,,,,,,
256,"对于至少67％的日本人，我的看法就两个字:卑劣。**的是我在百度上看到的就复制过来了。法国伟大***被誉为二战救世主的美国总统富兰克林罗斯福：""日本人是有史以来我见过的最卑鄙、最无耻的民族。""法国总统戴高乐：""日本，这是一个阴险与狡诈的残忍民族，这个民族非常势利，其疯狂嗜血程度类似于欧洲中世纪的吸血鬼德库拉，你一旦被他看到弱点，喉管立即会被它咬破，毫无生还可能""。美国巨富约翰D洛克菲勒：""日本人除了复制别国科技外一事无成，它何曾独立为世界文明作过贡献，充其量只是个工匠型的二流民族而已""。德国二战后第一任联邦总统特奥多尔豪斯：""吾人至今还对二战期间发生在巴黎的一件事记忆犹新，当一辆满载德国士兵的军用卡车在巴黎街道翻倒时，有许多巴黎市民纷纷自发上前尽力将被压的德国士兵拖了出来，其中好几名巴黎平民还是法国地下抵抗组织的成员，因为德军在法国几乎没有暴行，德国士兵在占领后并没有摆出战胜者的姿态，而是与巴黎市民和平相处，一起生活得十分融洽。令人震惊的是，在同一时期日本人却在中国肆无忌惮的屠杀手无寸铁的中国妇孺，日本人非要杀完最后一个中国人才甘心""。美国将军麦克阿瑟说:“对日本人,你将其当畜牲看待(美国人认为),它才敬畏你,你打败他,打的心服口服,他自愿把他的老婆女儿叫来陪你睡,对日本用铁拳才是真理 。”",,,,,,,,
191,如果大家真的了解日本（不是看几部动画翻几篇微博就叫了解），会知道这没什么好奇怪的，更过分的发言多的是了。重要的是，这种事在德国是不可能想象的，为什么，因为德国人天生就比日本人善良？肯定不是。而是因为如果某德国人跳出来公开说，他们杀过犹太人这事儿是假的，那他完蛋了，会被弄得很惨。日本呢，别人想咋样就咋样，甚至骂你“zhi na猪”又怎么了，拿别人没有丝毫办法的，而且如果有某个中国人因此变得很讨厌日本，说几句日本人的坏话，那叫“愤 青”，是要被瞧不起的。再说了，谁关心这些呢，这类视频播放量我看要超过10万都难，随便一个火点的动画视频都几十上百万。逛日本网站的时候，看见那些叫中国人“zhi na猪”的，我有时站在局外人的角度想一下，真的觉得，“你们还真别怪人家歧视你们，这么下贱，活该被歧视”。另外，楼下貌似有人发了关于此事的日本网民评论翻译贴，我可以告诉你们，那里面的就是当今日本最普遍，最真实的声音。最后，那些只要是关于日本的，一遇到就骂的愤 青 ，是在严重拖后腿，“糖衣留下炮弹扔回去”这么简单的话听不懂？真的恶心，智商真的太低，提前骂你们一声“猪队友”。不过说到底，“猪队友”好歹还是队友。，,,,,,,,,
118,果然是千防万防家贼难防，参加反apa酒店游行的在日华人的身份信息被国内日杂人肉出来了，并把人肉信息发到了日本的2ch网上,,,,,,,,
118,“谁说日本有被投过原子弹的，那不过是一场瓦斯爆炸而已，原子弹所产生的高温应该会把所有的东西气化才对，所以应该不会留下证据才对，所以证据是不存在的，那么日本被原子弹攻击这件事也就是不存在的。你看他们所谓的视频证据里面那些木屋都好好的，所以那只是一个小小的瓦斯爆炸和地震的剪切视频而已，如果有发生过的话美国应该有记录才对，然而我们都没见过记录，所以被原子弹攻击什么的只是日本人为自己失败所找的借口，是为了少陪点战争赔款所做的骗局，那时候原子弹还在试验阶段，哪有成品可以扔。一切都是日本人对于战败不能接受，由被害妄想所妄想出来的“日本战败真凶”。”看，扭曲事实谁都会，谁都可以扯得很像那么回事，然而，真正的历史从不说谎！不是我偏激，是他们从未正视；不是我迁怒，是三十万亡魂不安！,,,,,,,,
84,南京人表示谁tm和你们是姐妹城市,,,,,,,,
77,然而很多up主都在拐弯抹角的说：骂曰本的键盘侠，都不是好东西，,,,,,,,,
