链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
https://www.bilibili.com/video/BV1ky4y1v7kn?from=search&seid=10285669073430163330,南京全城“定格”一分钟！此刻，他们纷纷驻足为遇难同胞默哀,102000.0,199.0,20201213.0,14000.0,1034.0,713.0,130.0,120.0
评论点赞数,评论内容,,,,,,,,
4934,墙上密密麻麻写满成千上万死难者的名字我只看了一眼只看了一眼就决定离开头也不回地离开因为我看到了一位朋友的名字当然我知道只是重名几乎可以确定只要再看第二眼我就会看见自己的名字          ——朱剑,,,,,,,,
2259,三十万故魂犹未昭，八十三年金陵寒雪。为丈夫者，家国耻与恨，生而死之不能忘。吊殇难之而哀悼，悲怆之而举国黯然。——南京国难83周年,,,,,,,,
1714,"上海有个叫做吴祖康的老爷子，2000年开始创建一个叫：918爱国网   <img alt=""[爱心]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/ed04066ea7124106d17ffcaf75600700e5442f5c.png@100w_100h.webp""/>的网站，网站收集了目前几乎所有的抗战资料新闻。20年间，老人家一直靠自己的退休金和各界人士的捐赠维护网站，时而还要去慰问抗战老兵，目前网站还一直处于赤字状态。在今天这个特殊日子，希望有能力的小伙伴对网站进行捐助，2000年开始，每一分捐助的使用情况全部都在网站上透明公开大家可以看一下这个网站，或者复制一下这段话，评论到其他视频下，让更多人知道这个网站china918.net",,,,,,,,
658,不能忘，不敢忘！--致南京大屠杀公祭日,,,,,,,,
545,http://www.cngongji.cn/gjys/wap.htm 如果大家有时间，希望大家去公祭网敲敲钟，献上花圈，点上一支蜡烛。今天，三十万南京人要回家！转,,,,,,,,
459,默哀，并记住要珍惜现在的和平，记住过去屈辱的历史,,,,,,,,
446,勿忘国耻，不是为了延续仇恨而是为了珍爱和平，吾辈当自强,,,,,,,,
237,出了纪念馆之后，尽头是和平两个字,,,,,,,,
224,看到街上车辆鸣笛，行人驻足就哭了，真生理反应,,,,,,,,
150,《三十万的魂》慢慢长夜，不见星光夜幕吞没应天直到，人头落地三十万无家的魂无言的离去岁月载满着猩红悲鸣回荡着思乡谁又能想到，带血的刺刀被打扮成了笛吹的是，岁月静好风吹不散长恨光打不破思乡那数万万的魂啊只能眼睁睁的看着恶魔庙下，祭拜的人们,,,,,,,,
148,勿忘国耻，牢记历史！敌人还是敌人,,,,,,,,
83,听到这声音就难受，火一下就上来,,,,,,,,
113,在是个严肃事件，我只想告诉一些年轻的朋友，日本人是一个极其狭隘的民族组成的，从这个国家有历史开始，从这个岛国极其狭小生存环境开始，从丰臣猴子的对朝之役开始，到现在它日本社会的种种问题，这个国家就显示出了它小国寡民的思想！要想真正的中日友好，只有一条路！撤底灭掉日本，从精神思想文化重构这个民族！,,,,,,,,
40,"勿忘国耻，吾辈当自强<img alt=""[点赞]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/1a67265993913f4c35d15a6028a30724e83e7d35.png@100w_100h.webp""/>",,,,,,,,
32,今天南京下雪了,,,,,,,,
31,想知道日本媒体反应,,,,,,,,
25,砥砺前行,,,,,,,,
22,这天，我空间说说，有一个过生日和一个女同学穿和服自拍的，看评论了解这是之前拍的，只是现在发出来。我提醒并举报那位穿和服自拍的女生了，大伙说我过分吗。,,,,,,,,
20,我一个朋友说是路过南京大屠杀纪念馆，想了半天，觉得自己情绪肯定顶不住，就没敢进去。,,,,,,,,
19,"上海有个叫做吴祖康的老爷子，2000年开始创建一个叫：918爱国网   <img alt=""[爱心]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/ed04066ea7124106d17ffcaf75600700e5442f5c.png@100w_100h.webp""/>的网站，网站收集了目前几乎所有的抗战资料新闻。20年间，老人家一直靠自己的退休金和各界人士的捐赠维护网站，时而还要去慰问抗战老兵，目前网站还一直处于赤字状态。在今天这个特殊日子，希望有能力的小伙伴对网站进行捐助，2000年开始，每一分捐助的使用情况全部都在网站上透明公开大家可以看一下这个网站，或者复制一下这段话，评论到其他视频下，让更多人知道这个网站china918.net",,,,,,,,
18,勿忘国耻旨在自强,,,,,,,,
17,http://www.cngongji.cn/gjys/wap.htm 如果大家有时间，希望大家去公祭网敲敲钟，献上花圈，点上一支蜡烛。今天，三十万南京人要回家！转,,,,,,,,
16,“空一座城，等三十万亡魂。”“点亮一盏灯，祭奠八十年乾坤。”“怀一颗心，求人世间安稳”“哀一个国，念我千古华夏人”,,,,,,,,
16,警惕精日份子，牢记日本侵略,,,,,,,,
18,我们崛起是为了和平，为了世上不再发生这样的惨剧,,,,,,,,
13,勿忘国耻，砥砺前行,,,,,,,,
12,杀我同胞，辱我姐妹，血海涛天，永生不忘。,,,,,,,,
10,勿忘国耻，吾辈自强！,,,,,,,,
9,如果死后真的有灵魂，死去的南京人回来看到这一幕肯定很欣慰,,,,,,,,
9,以前的事 我们没法解决以后的事 我们能够从容自若但却要记住 不能再让悲剧再次上演,,,,,,,,
8,之前研学去南京，我们坐在车上前往侵华日军南京大屠杀遇难同胞纪念馆，当时我看着外面，问我旁边的同学，“你说我们现在所经过的地方，在那时是不是都遍布尸体与鲜血”。,,,,,,,,
8,今天我这儿预告阴天，结果下了两场雪,,,,,,,,
8,今天，我们南京应该很挤吧？因为有三十多万人要回来呀……,,,,,,,,
13,"不懂就问 为什么车辆是鸣笛<img alt=""[难过]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/a651db36701610aa70a781fa98c07c9789b11543.png@100w_100h.webp""/>",,,,,,,,
7,这个仇一直记得,,,,,,,,
7,生灵涂炭，惨绝人寰,,,,,,,,
7,铭记历史，勿忘国耻！,,,,,,,,
7,默哀，并记住要珍惜现在的和平，记住过去屈辱的历史,,,,,,,,
9,勿忘国耻,,,,,,,,
6,沈阳918也有，鸣了5、6分钟，很刺耳。真心觉得这样的鸣笛是必不可少的，它能让我们永远记住中国曾经的屈辱,,,,,,,,
5,这还只是经过统计的，还有一些在当年战争中被屠戮的村庄城镇……或许也不仅仅是这三十万之数啊……,,,,,,,,
3,我没有经历过这些事情，但仅仅是看历史书，看影像，就忍不住掉眼泪,,,,,,,,
3,就是日本战败没有赔偿中国，这个仇什么时候报了也就释然了,,,,,,,,
3,历史永远不能忘！,,,,,,,,
3,勿忘国耻，铭记历史！,,,,,,,,
3,"<img alt=""[保佑]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/fafe8d3de0dc139ebe995491d2dac458a865fb30.png@100w_100h.webp""/><img alt=""[保佑]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/fafe8d3de0dc139ebe995491d2dac458a865fb30.png@100w_100h.webp""/><img alt=""[保佑]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/fafe8d3de0dc139ebe995491d2dac458a865fb30.png@100w_100h.webp""/>",,,,,,,,
2,勿忘国耻,,,,,,,,
2,看的一些南京大屠杀的纪录片真是看的头皮发麻，生理性的不舒服。头晕恶心！希望国家越来越强大！,,,,,,,,
2,真是核平了，要是有天核来了，请求日本灭绝,,,,,,,,
2,关于南京大屠杀的纪实性片子都不敢看，真不敢看，虽然不认识那些遇难者，但是真的，光一个南京南京就让我看的喘不过气来，我怕碰上纪录片啥的，我这辈子都不能用正常的眼光去看现代的日本人了,,,,,,,,
1,12月13，南京大屠杀遇难者国家公祭日,,,,,,,,
1,"响警报的那会儿，我坐在自习室听到外面的警报，就想哭，还想好好学习振兴中华<img alt=""[大哭]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png@100w_100h.webp""/>",,,,,,,,
1,越大的集体越能保持理性,,,,,,,,
1,默哀,,,,,,,,
1,牢记使命，勿忘国耻，强国富民，碾压渣渣！,,,,,,,,
1,这防空警报一响，眼眶就有了泪在打转 。,,,,,,,,
1,眼泪流了下来，好恨,,,,,,,,
1,勿忘国耻,,,,,,,,
1,今天的中国来之不易,,,,,,,,
1,勿忘国耻！,,,,,,,,
1,唉，难受,,,,,,,,
1,去TMD小日本！,,,,,,,,
1,吾辈当自强！,,,,,,,,
