链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
https://www.bilibili.com/video/BV1hs411b7xW?from=search&seid=4951455791367003205,APA酒店董事长首现身，宣称绝不撤书，靠此提升APA知名度,113000.0,3524.0,20170122.0,428.0,1148.0,1088.0,926.0,1920.0
评论点赞数,评论内容,,,,,,,,
1758,我在Facebook上说APA酒店书籍否认侵略历史宣扬军国主义，不到2个小时账号就被封了！呵呵，真•言论自由。,,,,,,,,
1217,我呸，你个臭不要脸的(=・ω・=)(=・ω・=)(=・ω・=)(=・ω・=)厚颜无耻的日本人,,,,,,,,
405,"”收到了来自全国一万多份鼓励我们的邮件电话和传真“那些说日本人民都是好的在哪里(=・ω・=)你们口中好人民选出了安倍晋三这样的右翼政府，真是好啊呸<img alt=""[狐妖_吃药]"" src=""//i0.hdslb.com/bfs/emote/059d810cbc5ad4df4f9bbf08e44643b022a2354f.png@100w_100h.webp""/>",,,,,,,,
342,広島はもウソです、米国は原子爆弾を投下したことがない（广岛也是个谎言，美国压根儿就没扔过原子弹）,,,,,,,,
257,康熙朝起居注》中：康熙多次评论日本人。他并不叫他们为日本国，而只叫“倭子国”，他说：“倭子国，最是反复无常之国。其人，甚卑贱，不知世上有恩谊，只一味慑于武威……故尔，不得对其有稍许好颜色。”,,,,,,,,
182,"日本没有挨过原子弹，你看切尔诺贝利核电站，人都不能住。广岛 长崎说是挨了原子弹，可是现在还有很多人住。所以都是谎言。<img alt=""[那兔_深思]"" src=""//i0.hdslb.com/bfs/emote/44bde865b0954e1230caaa545ea91a5b6d90e424.png@100w_100h.webp""/>",,,,,,,,
106,(｡･ω･｡)那你很棒棒哦据《日本经济新闻》网站1月19日报道，包括携程在内，多家中国大型旅游网站均已下架该酒店。搜索“APA酒店”后网页曾显示“很抱歉，暂时无法找到符合您要求的酒店”等内容。,,,,,,,,
94,日本那边几乎都是在支持apa酒店的，还有不少人认同大屠杀是中国人捏造的，其实那边大部分民众都是不同程度的右翼，这也就是安倍支持率高的原因之一。就算我们喜欢日本文化，但在这种时刻中国人也必须站稳自己的立场，我在语言学校和line上认识的日本人多了去了，有些人不要以为自己就看了几部动漫或是认识几个日本人，就说出“大部分日本人还是很友好的”这种不负责任的话啊...,,,,,,,,
90,不好意思，很快还会有后续进攻。真当我们是吃素的，昨天只是打个招呼而已。酒店评分刷成一点几已经算手下留情了，放心后面绝对给你刷成1星。网站都瘫痪了，要维护？放心，维护过了下次再让你瘫痪。打开知名度？放心国内大部分旅游网站都下架了你这个酒店预订，有本事咱们继续耗。,,,,,,,,
96,有人说这种视频里日杂没法说话，单身为一个资深喷子，我教一下小日杂们，这种视频应该说“中国人素质真低，上来就说脏话”站住道德制高点。,,,,,,,,
77,普及apa企业信息 ，中国客源在百分之5左右，大家有什么这个企业信息多多传上来，了解敌人，然后弄死他，别光言语谴责，那是很无力的。,,,,,,,,
63,我们对日本捏造所谓“美军轰炸东京”等一系列事件表示不满和谴责。众所周知，美国是《日内瓦公约》的签署国之一，一直遵守国际公约，从未对日本平民进行过任何针对性的攻击，也没有使用过燃烧弹和其他各种攻击性武器，日本方面多次提到的诸如“东京事件”，“广岛事件”，“长崎事件”等在国际上有着广泛影响的说法实际上是完全没有依据的，这些事件不过是日本政府为了营造战争受害者的形象而捏造的。现在已有多方证据证明战时在日本各大地区的人口与日本公布的平民伤亡数字严重不符，甚至有伤亡数字超过人口数的荒诞捏造痕迹。我们呼吁所有有良知的人们积极对日本的恶劣造假行为进行反驳与揭露，一定要制止日本这种抹黑，污蔑美国和同盟国的行为，还曾经为了解放受苦受难的日本人民的美军和众多同盟国军队一个清白。,,,,,,,,
66,真是日本人民大部分都是“友好”的啊！“友好”的日本人民选出了右翼政府并否认***，呵呵！,,,,,,,,
48,好，很好，有人删我评论。那我也认为是你不介意我到处检查有没有被删然后到处刷了。最近B站的某些杂真是不消停，APA酒店事件搞得我都很想把他网上服务器炸了。就这种时候了居然还有人说B站不谈政治，我想说你要是敢对以色列谈我是纳-粹文化爱好者但我我不想跟你谈政治我看以色列人不neng（没打错就是neng）死你。 和中国谈否认侵华-战争造成的伤害也一样，这不是政-治问题，这是民族问题！尊严问题！,,,,,,,,
48,看评论太乐观了(;¬_¬)中国人记性并不好，中日dyd事件爆发时，日本综艺节目就讨论以后中国人是不是就不来旅游了，当时就有专家指出中国人过了几个月的热情期后，仍然会照常来旅游和购物，事实是现在反而越来越火爆。而且当时专家还引用了很多年前的一个名人的原话，说明日本的智囊早就看出了这一弱点,,,,,,,,
48,好像帝吧20号的出征把他们网站搞瘫痪了，给力,,,,,,,,
44,希望APA在中国人心里变得和靖国神社一样有名,,,,,,,,
42,去这个酒店里，在房间里放下《美国投原子弹是假的》这本书,,,,,,,,
41,"中国去日本旅游的游客有600,万，哪怕有300,万人不去日本旅游，对日本的旅游业和酒店业都是巨大的损失，到时候不用我们制裁他，他自己就会被其他的酒店制裁。所以大家最好别去日本旅游，能不买日货的时候尽量别买！来呀，继续删评论啊。",,,,,,,,
38,“大部分日本民主都很友好啊，政府的锅而已。”笑死了，你在日本生活多久？认识多少日本人？其中多少是你真正算熟的了解的？几十个有吗？别忘了日本一亿国民，你口中的大部分算个屁？真友好安倍能上台？书都读到狗肚子里去了。,,,,,,,,
36,本来我是不反对中国人去日韩扫货的，但是看到近期日韩某些人的所作所为，作为一个有良知的国人还是自觉抵制吧。自己都没骨气的话，难怪别人会欺负你。,,,,,,,,
33,A以前很强大 而B很弱小 于是B开始向A学习 A也很乐意帮助B 于是B也迅速地变强了 后来有一天AB都遭到了外来者的欺凌 外来者逼他们为自己做事 B 不再依赖A转而向外来者学习 而A却因为内外多重原因在很久之后才开始前进 这时B不但已经强大了起来 而且同外来者联合了起来 一同攻击A  后来有一天 B与CD一同组成极其强大的一股力量 却妄图把包括A在内的所有人一同征服 B对曾经的宗主进行了惨无人道地凌虐  那之后  在所有人的努力之下 他们失败了 A开始迅速发展 而那段可怕的历史却永远刻在A的脸上，肩上，头骨上……世界开始向往和平，战争开始减少，即使有那样的历史，A依然希望同B和谐相处，B也有着这样的希望然而从B口中说出来的话却触及了A的底线：我从未攻击过你更从未凌虐过你我拯救了你 我帮助了你甚至是解放了你 而你却在说谎 诋毁我 B不知道此时，曾经同他一起肆虐大地的C正在一片墓碑前跪着我向往和平，但你们刻在我们身上的东西永远无法抹去，我固然可以原谅你，把你说的一切当成事实，忍着疼痛咽下苦水，但是抱歉中国却非一个人，这里有十几亿人，任何人都没有资格代替任何人原谅你们，你们更没有资格获得任何人的原谅，南京大屠杀的幸存者们相继离去，仅剩的百人还在等着你们道歉，三十万亡魂还在这片天空中盘旋，若你们执迷不悟，终有一日，你们将见不到那被亡魂遮住的阳光,,,,,,,,
28,我们酒店应该也写一本书，就叫《日本  一个假的国家》  怎么样(°∀°)ﾉ,,,,,,,,
28,投机者总是把一切事物都看做可以消费的对象，恶毒的投机者会进一步付诸实施，而愚蠢的投机者则认为，这样做每一次都有效。——沃·兹吉硕德→_→,,,,,,,,
27,南。京。大。屠。杀都和谐？这网站真是越来越恶心了。,,,,,,,,
27,这事还真有可能像他说的那样发展！毕竟中-国-人“忘事”是出了名的！有些人只会瞎叫口号！日-货照样买旅馆照样住！慰 -安-妇问题日-本为何只向韩-国道歉？这方面真的应该学学棒子？汽车行业作为日本的支柱产业去韩国街头看看基本看不到日系车！国人就是喜欢窝里斗！日本，韩国，越南等都比我们团结！毕竟中国喷子太有名了！动不动就问候他人祖宗！过去我们弱时要以史为鉴现在我们要以史为剑！日本哪里痛打哪里！对他们不能纵容！（我就看你能删几次？你删一次我发一次！）(╯°口°)╯(┴—┴,,,,,,,,
26,事实证明，重要历史事件都会成为考试重点╮(￣▽￣)╭忘记？想的美,,,,,,,,
25,来自2020年9月15日，中国人就像这个日本鬼子说的一样，大众点评上面还有预约APA酒店的链接！超级恶心的大众点评,,,,,,,,
23,加油日本！这样的人越多越好。再多一些。下一次吃核弹的还是你们(｀・ω・´),,,,,,,,
23,讲个笑话日本人很友善都是政府的错,,,,,,,,
22,两个原子弹爆炸的事情是子虚乌有的，更不可能死那么多人，广岛长崎在原子弹爆炸钱都不到一千人，怎么可能死那么多人？原子弹是日本人捏造出来用来博得世界同情的假事件，是根本不存在的。中国是言论自由的，你们无权让我道歉，我有我的观点，中国是言论自由的。,,,,,,,,
21,刚刚的新闻联播已经播出全面禁止国内所有的旅行社与APA酒店的合作的新闻,,,,,,,,
21,我曾天真的认为只有少部分的日本人这么shabi现在我发现我错了,,,,,,,,
21,我只希望有些日精不要再执迷不悟了，没有日本民众的支持，日本右翼势力能这么猖獗？简直可笑,,,,,,,,
21,虽然不能完全地以偏概全一棒子打死，但是目前右翼政府60%以上的支持率至少说明「大多数」日本人是支持右翼政府的。而且，日本新一代年轻人「几乎全部」被灌输了扭曲史观，即淡化侵略历史(教科书中南京事件、中日战争等中性模糊用词可看出。)刚才和一个自诩为“客观”的**撕了半个小时，他始终觉得我这段话以偏概全了23333 后来我把“大多数”给他强调了好几遍，他终于不BB了,,,,,,,,
21,"真的。很多人还是很健忘的。凤姐说洗白就洗白。真的一点情面都不给。<img alt=""[小电视_发愁]"" src=""//i0.hdslb.com/bfs/emote/05e279abbf3f72d5cc45548504a4220c5514b8b9.png@100w_100h.webp""/>",,,,,,,,
19,"转自龙腾网 其他外国网友评论The video shows passages from the book calling the 1937 massacre an “imaginary” event concocted by China to blame Japan. The book also denies that Japan’s use of “comfort women” involved forced prostitution.And, the saddest thing is, in his mind, this is the truth.“视频中可以看出书籍里的内容称1937年的屠.杀是中国为了怪罪日本而想象出来的捏造事件。书中还否认了日本使用涉及慰.安.妇在内的强制卖.淫。”最悲哀的是在他的脑中这才是事实。“Japan guarantees freedom of speech, and no one-sided pressure should be allowed to cause a retraction of a statement.”And truth should not intervene because it doesn't exist, right? It's becoming just about he or she who shouts loudest. How miserable is the post-truth world.“日本保证言论自由，单方面的压力不应该导致声明的撤回。”事实不应该干涉，因为它不存在，是吗？好像谁说话大声谁就有理似的。这个后事实的世界多么的可悲吖。Proof the conspiracy theory-loving fanatic isn't just a western right-wing phenomenon.这表明了喜欢阴.谋.论的狂热者并非独有的西方右翼现象。",,,,,,,,
18,你有一万多的人鼓励，我们有十三亿的鄙视和唾弃,,,,,,,,
19,"以前还以为政府有罪，平民无罪，现在想来以前真是天真<img alt=""[2233娘_郁闷]"" src=""//i0.hdslb.com/bfs/emote/485203fe7100f2c8fc40b2800a18fe20b35f2f1a.png@100w_100h.webp""/>，对霓虹这个国家失望透顶",,,,,,,,
