链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
34,"无论如何，南京大屠杀也无法原谅<img alt=""[生气]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/3195714219c4b582a4fb02033dd1519913d0246d.png@100w_100h.webp""/>",,,,,,,,
29,各位，请不要悲伤。战争总会死人。但我认为只要中华民族紧牵着手。就不再悲伤。（改自《女狙击手》）,,,,,,,,
27,国军的部分人也是有血性的，抗日战争时，是国军顶住了大部分压力，但是内战，那些将领信奉的军令如山，导致了我们中华民族的战争。所以，致敬先辈，保卫我们现在的国土。,,,,,,,,
27,"感谢英雄<img alt=""[支持]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/3c210366a5585706c09d4c686a9d942b39feeb50.png@100w_100h.webp""/>",,,,,,,,
20,"现在的日本官方仍然拒绝承认他们的前人所犯下的罪孽，那么中国人就永远不会放下这段血腥屈辱的历史。他们现在不肯承认，等到了中国让他们失去了唯一的靠山之时，那一天他们会跪下的，那一天他们就已经没有了谢罪的资格<img alt=""[无语]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/44667b7d9349957e903b1b62cb91fb9b13720f04.png@100w_100h.webp""/>",,,,,,,,
18,用以辱骂来彰显爱国，这是丢人的事情；用仇恨蒙蔽理智，是愚蠢的行为。     但是！忘记这份仇恨，我们没有这个资格！     你对着这惨死在日本人手里，数以亿计的同胞，你扪心自问：你，有资格替他们去原谅这些侵略者吗？     反正我无法原谅，我不会把自己的仇恨迁怒到那些无关的日本人身上，但我更不会原谅那些曾经的侵略者和现在那些右翼分子。     有些罪或许可以原谅，但家国之恨，同胞之仇，不可饶恕！,,,,,,,,
17,勿忘国耻,,,,,,,,
17,你视频剪辑的配乐和片段。和一个视频好像。,,,,,,,,
15,汉元帝大将陈汤纠集西域十六国联军斬杀郅支单于，后陈书汉元帝：“明犯强汉者虽远必诛！”,,,,,,,,
14,胡歌那部是什么片,,,,,,,,
12,我们没有资格去替先烈们原谅侵略我们的日本兵，但是我们有资格替他们继续守护我们的国土,,,,,,,,
11,看了这个视频，我觉得我应该珍惜现在的幸福生活,,,,,,,,
12,我初中时候写了小说南京突围记，就是写抗战的。那时候一看抗日的史书就热血沸腾，到了高中就搁置了，唉,,,,,,,,
10,我喜欢日本的文化，因为它像极了我们的大唐；我喜欢日本的动漫，因为它让我在巨大的压力中得到一丝喘息。我佩服日本人的匠人精神，佩服他们的小礼，因为，这是我们目前欠缺的。但是这一切的一切都不是忘记这段历史的理由，正因为这段历史，因为我们不如别人，我们才应该更加努力。先烈们用生命换回的和平，值得我们用生命去捍卫。我们应做的是奋发努力，而不是整天叫嚣着复仇。,,,,,,,,
7,这种视频不应该给赞，应该给币,,,,,,,,
6,http://www.cngongji.cn/m/如果大家有时间，希望大家去公祭网敲敲钟，献上花圈，点上一支蜡烛。今天，三十万南京人要回家！转,,,,,,,,
6,向先烈致敬！我是不是看到了朝鲜战争？,,,,,,,,
5,中国人爱好和平，我们希望与全世界合作共同创造出美好的明天，但要我们原谅日本人，不好意思，这事我们做不了主，你得下去问问那些英烈同不同意，,,,,,,,,
5,首页了熬,,,,,,,,
5,吾辈当自强，勿忘国耻，那是先烈们用血换来如今的山河！！！,,,,,,,,
4,金戈铁马兮，外奴踏破。泱泱华夏兮，执剑以筑国威。吾辈少年兮，自当奋发图强。回首，日寇侵我家国，杀我人民。万万人血筑长城！今朝，看吾辈誓守先人河山！纵是疆场为国死，何须马革裹尸还！中国，谁都不能动！,,,,,,,,
4,醉卧沙场君莫笑，古来征战几人回,,,,,,,,
4,星星之火可以燎原,,,,,,,,
4,大国太平盛世，感谢先辈的付出，后面由我们来完成,,,,,,,,
4,想都不敢想的人间炼狱,,,,,,,,
5,望诸位炎黄子孙共同努力，再现当年我华夏辉煌。万邦来朝,,,,,,,,
3,在南京，有临阵逃脱的长跑将军，也有血战雨花台的铁骨将军。我们怀念崇敬那些抗战中倒在前线和后方支援的先烈们。有人说，抗战中勇敢的中国人很多都死了。但是活着的勇敢的中国人带领着这个民族依然不屈的前进着。,,,,,,,,
3,第6666赞......,,,,,,,,
3,什么电影,,,,,,,,
3,中国走到现在真心不容易！而且最后还是完整的,,,,,,,,
2,"看到这类视频真得感慨，我们的祖国用极短的时间发展到现在真的太不容易了，想想99年什么样子，01年什么样子，在看看现在真的欣慰<img alt=""[大哭]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png@100w_100h.webp""/>，各种领域我们走在世界前列甚至领先世界，基建，航天，深潜，军事，农业，工业，制造业等等一些领域都在极短的时间拥有了强悍的实力，我们已经成为世界第二大经济体，甚至还有望成为第一，我们有希望成为超级大国，先辈们一代人吃了三代人的苦才换来今天的成果，向他(她）们致敬<img alt=""[大哭]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png@100w_100h.webp""/>。如果真的可以跟先辈对话，我真的很想告诉他(她）们，山河犹在国泰民安。曾经我们不是一个强大的国家，处处遭人挑衅和霸凌。但是现在，我们有能力去打跑一切挑战我们国家主权，民族尊严的国家，我们有能力去不让悲剧重演，在这个时代不会再出现新的耻辱，如果一些国家无底线挑战我们的红线<img alt=""[阴险]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/ba8d5f8e7d136d59aab52c40fd3b8a43419eb03c.png@100w_100h.webp""/>，那我只能说一句话了，给脸不要脸，东风快递砸你脸<img alt=""[阴险]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/ba8d5f8e7d136d59aab52c40fd3b8a43419eb03c.png@100w_100h.webp""/>。我们中华民族不可欺，我们中华民族不可辱，想要像以前那样动不动就来找存在感挑衅我们的尊严，呵呵，想想后果，用你们脑子仔细想想。最后祝我们伟大的祖国，实现中华民族伟大复兴，我们的征途是星辰大海<img alt=""[OK]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/4683fd9ffc925fa6423110979d7dcac5eda297f4.png@100w_100h.webp""/>。🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳",,,,,,,,
2,我们可以选择原谅，但我们决不会忘记！,,,,,,,,
2,埋骨何须桑梓地，人生无处不青山,,,,,,,,
2,"我在西瓜视频说这个，结果快被一堆精日喷死了<img alt=""[无语]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/44667b7d9349957e903b1b62cb91fb9b13720f04.png@100w_100h.webp""/>",,,,,,,,
2,致敬,,,,,,,,
2,愿以寸心寄华夏、且将岁月赠山河、,,,,,,,,
2,先辈用生命换来的和平。一代代军人守护下来的和平。由我辈接过责任。传承下去。有国才有家,,,,,,,,
2,谅寇？亮剑！一寸山河一寸血，寸寸国土埋先烈。吾辈族仇不能懈，举国同祭家恨携。,,,,,,,,
2,仇恨可以淡忘，但历史永不能忘,,,,,,,,
1,确实，我很喜欢日本的动漫，京阿尼，老虚什么的，但是我始终不会忘记中国那一段屈辱的历史，这是一个中国人应该做的事情,,,,,,,,
1,南京南京这部片子刚开播的时候引出了某个地区教育的败坏,,,,,,,,
1,只要让我们觉得不安逸，中国人就会爆发出巨大的前进动力。,,,,,,,,
1,感谢这些牺牲的抗日前辈  不然以本子的兽性 现在我们不是免费劳动奴隶就是供他们实验的马鲁大,,,,,,,,
1,Имя твоё неизвестно. Подвиг твой бессмертен.你的姓名无人知晓，你的功绩永世长存。,,,,,,,,
1,振兴中华！！,,,,,,,,
1,以后背景音乐小一点,,,,,,,,
1,毛主席1945年说过一句话：中国人民和日本人民是一致的，只有一个敌人，那就是日本帝国主义者和中国民族败类。,,,,,,,,
1,前世，你心惊胆寒，今世，许你平安稳定。前世，烽火硝烟，今世，盛世高歌。,,,,,,,,
1,"日军摧毁了我们的家园！我的高贵同胞们，沦为难民。但是，日军无法摧毁我们的意志。因为，神圣的血统链接着我们每一个人（不算汉奸）的思想，让我们在绝望中，团结一致！！<img alt=""[生气]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/3195714219c4b582a4fb02033dd1519913d0246d.png@100w_100h.webp""/>",,,,,,,,
1,王师北定中原日，家祭无忘告乃翁！,,,,,,,,
1,就是因为有这样一群挨着最黑的骂，抗着最毒的打，钢着最硬的仗的人才有了现在的和平,,,,,,,,
1,抗美援朝是什么电影,,,,,,,,
1,同样的国军解放兵再朝鲜可以打的美帝嗷嗷叫，为何？为了人民为了祖国不是为了某人某个集团,,,,,,,,
1,日本人狼子野心，亡我之心不会灭的,,,,,,,,
1,抗日战士不怕死，就怕被人遗忘。,,,,,,,,
1,绝不敢忘！,,,,,,,,
1,一寸山河一寸血，十万青年十万兵。,,,,,,,,
1,致敬,,,,,,,,
1,铭记这段历史，是为了记住曾经国家的耻辱。就现在而言，去创造一个不会有这种耻辱的国家的未来。,,,,,,,,
1,铭记所有战争中卫国牺牲的中国军人，没有你们，我们的好日子就不会有了。你们永远活在我们的心中。致敬所有的中国军人！伟大的中国万岁！🇨🇳🌹,,,,,,,,
1,致敬。脱帽！敬---礼------！,,,,,,,,
1,埋骨何须桑梓地，人生无处不青山,,,,,,,,
1,一寸山河一寸血！,,,,,,,,
1,帝国主义亡我之心不死，勿忘国耻,,,,,,,,
1,你币有了,,,,,,,,
1,可以,,,,,,,,
1,"从1840年开始，<img alt=""[大哭]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png@100w_100h.webp""/><img alt=""[大哭]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png@100w_100h.webp""/><img alt=""[大哭]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png@100w_100h.webp""/><img alt=""[大哭]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png@100w_100h.webp""/>",,,,,,,,
1,勿忘国耻!,,,,,,,,
1,真的看哭了,,,,,,,,
1,素质三连,,,,,,,,
1,身虽万劫不复处，回眸中华满庭芳,,,,,,,,
1,只解沙场为国死，何须马革裹尸还,,,,,,,,
1,什么电影,,,,,,,,
1,不错啊,,,,,,,,
1,倭寇驱尽日，我儿还家时,,,,,,,,
0,先辈们怕过谁！,,,,,,,,
0,爱国无罪!,,,,,,,,
0,致敬！,,,,,,,,
0,我想国内拍的抗日片给足国军面子了吧，够英雄了吧，怎么开始洗蒋开了？胜者王，败者寇，几千年了都这样，现在的风气怎么了，怎么养了一群这样的人。,,,,,,,,
0,原谅他们是先辈的事，我们需要做的是送他们去见先辈,,,,,,,,
0,为什么我的眼里常含泪水？,,,,,,,,
0,我们没有那个资格去说原谅只能记住那些惨烈的历史，不敢去忘不能去忘记！,,,,,,,,
0,因为你们，所以我不能后退！因为你们，所以我不能颓废！因为你们，不能浪费我的人生！因为你们，我要加油！,,,,,,,,
0,年纪大了，眼睛容易进陨石,,,,,,,,
0,烈士英勇，万古流芳！,,,,,,,,
0,求电影名,,,,,,,,
0,我没有资格替牺牲的无数先烈原谅侵华日军！！！,,,,,,,,
