链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
https://www.bilibili.com/video/BV1AJ411h7L8?from=search&seid=4392260229409422781,南京大屠杀幸存者在镜头前回忆：我只要不死我肯定忘不了,589000.0,2053.0,20191230.0,点赞,11000.0,8872.0,947.0,1260.0
评论点赞数,评论内容,,,,,,,,
10685,留给我们的时间不多了，日本死不承认，外国不断抹黑，中国不对外大力宣传，当一个谎话说多了就成了真话了,,,,,,,,
6728,我们没有资格替前辈们原谅！,,,,,,,,
3600,"<img alt=""[大哭]"" class=""small"" src=""//i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png@100w_100h.webp""/>，一想到日本还有一群死不承认历史的畜牲还有靖国神社  我就气不打一出来。但是想到美国对他们吆三喝四他们必须点头哈腰，而我们国家对老美想怼就怼稍微好受点了。",,,,,,,,
4138,侵华日军的罪行:旅顺大屠杀(公元1895年)雾社大屠杀(公元1930年)上海一.二八大屠杀(公元1932年)平顶山大屠杀(公元1932年)新宾大屠杀(公元1932年)西宝屯大屠杀(公元1932年)榆城大屠杀(公元1933年)临江大屠杀(公元1933年)依兰大屠杀(公元1934年)老黑沟大屠杀(公元1935年)天津大轰炸(公元1937年)金山卫大屠杀(公元1937年)上海大轰炸(公元1937年)罗径大屠杀(公元1937年)阳高大屠杀(公元1937年)苏州大屠杀(公元1937年)南京大轰炸(公元1937年)南京大屠杀(公元1937年)武汉大轰炸(公元1938年)重庆大轰炸(公元1938年)成都大轰炸(公元1938年)延安大轰炸(公元1938年)兰州大轰炸(公元1939年)潘家峪大屠杀(公元1941年)上饶细菌战(公元1942年)厂窖大屠杀(公元1943年)桂林七星岩大屠杀(公元1944年)附:国家公祭网网址http://www.cngongji.cn/,,,,,,,,
1566,我现在人在日本 昨天在东京看到靖国神社还有人在拜 真的很恶心 气死了 希望日本明白之人正视历史珍爱和平！ 两颗原子弹难道还没有给该死的军国主义思想炸没？,,,,,,,,
2398,日本军国主义法西斯主义必须死绝死透！,,,,,,,,
3258,祝您健康长寿， 顺便骂下日本真他妈的恶心,,,,,,,,
1219,日本军国主义者们，你们听听吧！你们屠刀下侥幸活下来的中国人，他们说：只要不死，我永远忘不掉！！！他们说：我们不要，战争！！！他们说：我们希望，世界和平！！！,,,,,,,,
