微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
Iyki2x7uW,庄周梦佛,男,广东,456,2703,庄周梦佛:#美股熔断# 又来了，打开欧美指数，是全球股灾吗，跌9%的$道琼斯 .DJI$ 连前10都挤不进去，可怕。几天前的融断，当夜的富时A50期指万绿丛中一点红，收中长阳，今夜看起来，似也撑不住了。不知道为什么，我几乎几年没像今夜这么轻仓了，几乎无仓过夜，在收盘前，我把我几乎所有的仓位都退了出来，而若在平时，这退完我总会去买其他，今天难得，竟留着现金过夜了。。石油雪崩，加疫情漫延，外面一片哀鸿，大A最近能走成这样，已是难得。我手上的部位一个接一个地破位，于是我的部位一点一点地撤，撤到今天，其实也差不多了。。 所以每当这种时候，当手上的部位都开始获得回吐，然后破位破线，最后把手上的部位都出净了之后，我总会不记教训又一头冲进去，然后就开始受伤了。之前的叫回吐，只是少赚而已，而到了这种个阶段一冲，有时候就进入了另一种叫血亏的阶段的。所以我最近一直在调整，离开的部位且缓进场。 有时候在想，也许，停一停，会便好。这也许就是最近开始用微博记录操盘细节的原因，至少，有些事情，是应该被记住的，不要老是在同一个地方跌倒。也许下半夜的$CSOP 富时中国A50 ETF AFTY$ 会不会雄起，明天的$上证指数 sh000001$ 能不能再扮演一次英雄再带领全球股市反弹，直接轧我空手。但是不怕，只要它站稳了，再来选股入场，何处不是艳阳天。。 今天截的这些图，应该是一辈子难得见到几次的场面。活久见，真心活久见。#试错笔记# http://t.cn/z8A4PN8 显示地图 [组图共4张] 原图 ,2020/3/13 0:29,7,1,45
Iyrn7lf2l,湖北日报,男,湖北,400,4142641,湖北日报:【2月起，湖北对职工基本医保单位缴费部分实行阶段性减半征收】#全力以赴遏制疫情# 记者今天从湖北省医疗保障局了解到，今年2月起，湖北对省内各类用人单位职工基本医疗保险单位缴费部分实行减半征收，法人登记的机关事业单位、生育保险费不在减征范围之内。根据《关于阶段性减征职工基本医疗保险费的通知》，统筹基金累计结存可支付月数大于6个月的可实施减征，减征期限为5个月；统筹基金累计结存可支付月数小于6个月的，但确有必要实施减征的，由各市州人民政府在确保基金收支中长期平衡的前提下，根据基金运行情况和实际工作需要制定具体减征政策。省医保局相关负责人介绍，实施医保费的减征和缓缴政策不影响参保人享受当期待遇。（湖北广电） 原图 ,2020/3/13 18:31,43,5,15
IykhIpBcK,取心莲子,女,河北,46,76,取心莲子:儿子吃奶时候，一只手总抓我的手指头，攥着松开，攥着松开。这个动作像极了我妈妈，回村里的躺着的休闲时光，妈妈总是一边看着一边捏咕捏咕我的手、胳膊、还有大腿，特别认真，像是把玩一个特别好的物件。疫情期间，除了腊月三十在村里吃个午饭，就在也没回去过了。想念我的妈妈……儿子在迷迷糊糊地吃奶，我要抽了下鼻子，儿子突然被我惊吓醒了一下，我又接连抽了一下鼻子，儿子恍惚才知道是妈妈，就写着小夜灯的微弱灯光，傻傻的甜甜的对我笑，我想家啦……眼泪滋遛滋遛的流出来…… http://t.cn/RDUn8A8 显示地图 原图 ,2020/3/13 0:29,0,0,0
IykhGlaIa,偉大的牧者,男,北京,191,28150,偉大的牧者:有媒体又在鼓吹意大利网友满屏暖心和感恩！实际上，有相当一部分意网友的评论是：病毒是他们（中国）传播开的，他们要负责。毫无疑问，疫情蔓延是全球应该应对的挑战。中国派出医疗专家、捐赠防疫物资，体现的是中国的大国担当，这是中国当下国际关系中必须承担的义务，也展现了中国绝对的综合国力！但西方绝大部分人，对华是极其不友好的，是严重反华排华的，国内媒体完全没必要为他们“粉饰”。我们做了一个负责任大国该做的，中国有着五千年文明，儒家文化讲究“仁”“义”。这境界，我们甩西方几十个世纪，他们悟不透，不会懂！ ,2020/3/13 0:29,10,0,6
IykhBFbIv,Tinsilin,女,广东,444,340,Tinsilin:大年初一开始，持续不间断的上班，忙疫情防控、忙各个系统、忙各种报告报表、忙审计资料……各种忙忙忙，忙到晕头转向忙到明明天气好好，却只能看闺蜜发来春暖花开；忙到明明分身乏术，却还祈祷待会外出公务可以停雨。随手记：最新工作心得：基层工作实在不易最新工作愿望：基层无法减负，至少别再增负近期工作总结：财政虐我千百遍，我待财政如初恋近期生活愿望：🙏疫情早点结束，休息两天，调节身心，祛除疲乏！ http://t.cn/RJwCgB0 显示地图 [组图共6张] 原图 ,2020/3/13 0:28,1,0,2
Iykhau8v1,mj一鸣,女,北京,616,163,mj一鸣:今天借收材料的名义，问了一下一位武汉同学近况，得知他和父母身体都好，有些如释重负；转头听到他的父母都是医护人员，一直奋战在一线，又产生了很多敬重和担忧。还好字里行间能感觉到他还在为电脑排风扇坏了，快递无法配送新pad，每次只能开一个pdf一个word而有着小情绪；虽然知道疫情严重但是还是说着“一天会比一天距离流动更近”……希望他们一切都好，一切都会慢慢变好。 ,2020/3/13 0:27,3,0,0
Iyks3n6fZ,金沙检察,男,贵州,120,767,金沙检察:【#钟南山说国外疫情很像武汉早期情况#，互相交流很重要】今天，广东疫情防控发布会上，#钟南山谈全球疫情形势#：中国目前对疫情已经有了一些体会和教训，可以让其他国家少走弯路，减少病死率。目前，国外确诊已有四万多人，有点像早期湖北武汉的情况。让其他国家提高警惕，才可能在全球战胜疫情。就算中国一个都没有了，但国外没控制好的话是不可能胜利的。任何国家都可以采取合适方式来保护老百姓，中国经过这段时间后应该起更大作用，互相的交流和支持非常重要。 http://t.cn/A6zt7n5q ,2020/3/13 0:54,4,1,0
IymYIt15Q,杭州检察,男,浙江,312,63734,杭州检察:【#钟南山表示6月结束疫情可以期待# 但有前提条件】钟南山表示，预测本次疫情在6月份结束，是可以期待的。#冠状病毒在温度较高的夏天比较不活跃#。但也要取决于各国的重视程度。假如一些国家不重视疫情的危害性和传染性，结束时间就不好说了。目前意大利死亡率约6%，美国超过2.9%。 http://t.cn/A6zt2Je0 ,2020/3/13 7:20,3,2,5
Iyqgo2WAb,东楚晚报,男,湖北,681,233458,东楚晚报:【大冶市新型冠状病毒肺炎防控工作指挥部通告（第22号）】根据省、黄石市疫情防控指挥部通告精神，结合我市当前疫情防控形势，按照“分区分级、分类分时、安全有序”的原则，现就做好人员安全有序流动有关事项通告如下：一、自http://t.cn/A6zIyiqv ，恢复大冶公交线路、对接黄石市区公交线路、农村客运班线和村村通客运班线运营。市民乘车须出示健康“绿码”、配合测温后乘车。市域内取消巡游出租车单双号限行管控。大冶市疫情防控指挥部第17号通告中启动的两条支持复工复产企业员工公交通勤专线停止运行。省际、县际客运班线暂不运营。二、市域内国、省、县、乡道恢复有序通行。境内高速出入口、大冶北站、黄石火车站继续实施值守管控；与武汉、咸宁、鄂州相连接的国省干线及县、乡、村（湾）道继续实施封控。三、省内中低风险地区返冶的复工复产人员、滞留的大冶籍人员，凭健康“绿码”或健康证明，经测温查验登记后入冶；省内高风险地区返冶的复工复产人员及滞留的大冶籍人员，凭健康“绿码”或健康证明、接收地单位或社区（村）接收证明，采取“点对点、一站式”办法，经测温查验登记后入冶。四、省外返冶复工复产人员及车辆和滞留省外大冶籍人员及车辆，凭现居住地社区（村）或相关医疗机构出具的健康证明，经测温查验登记后入冶。五、离冶赴省内其它市州复工复产和返乡人员及车辆，持健康“绿码”或健康证明，经测温查验登记后离冶。目的地需查验车辆通行证的，到市疫情防控指挥部交通组办理。六、严格管控在冶人员及车辆离鄂通道。在冶滞留人员及车辆离鄂（北京市除外），凭司乘人员健康“绿码”、接收地单位或社区（村）接收证明（注明全部司乘人员相关信息），并持大冶市疾控中心出具的健康证明，向市疫情防控指挥部交通组提出离鄂申请（附件：在冶人员离鄂申请书），办理通行证。采取“点对点、一站式”办法，经测温查验登记后离冶。到达目的地后，须主动向接收地单位或社区（村）报告，并将报告情况向我市疫情防控指挥部交通组报备（联系电话：139 7279 8789）。七、离冶、入冶所有流动人员均需佩戴口罩，主动出示健康“绿码”或健康证明，配合接受测温。到达目的地后主动向单位或社区（村）报告，并自觉遵守当地疫情防控指挥部有关规定。各乡镇（场）、街道、高新区及相关单位遇有特殊情况应及时向市疫情防控指挥部报告。 通行证办理地点：大冶市行政服务中心一楼办证大厅咨询电话：0714-8493303投诉电话：0714-12345 　　　大冶市新型冠状病毒肺炎防控工作指挥部                         2020年3月13日 [组图共2张] 原图 ,2020/3/13 15:42,3,2,5
IyqgkuqJH,温柔的夜11,男,其他,2248,143899,温柔的夜11:【“疫”线春耕忙】#抗击疫情南昌在行动##发现南昌遇见南昌#  3月12日，在南昌市新建区铁河乡新丰分场，当地农户正在用拖拉机耕整水田。眼下既是疫情防控的关键时期，也是春耕备耕的农忙时节。新建区一手抓疫情防控，一手抓春耕生产，鼓励种粮大户扩大土地流转和托管服务，充分调动农民多种粮的积极性，为全区落实早稻种植面积53万亩打下坚实的基础。 原图 ,2020/3/13 15:42,6,0,4
