微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
IF3pfEKt3,血色军刀999,男,江苏,3517,25633,血色军刀999:西方出于敌视俄罗斯的立场，总喜欢诋毁俄罗斯的用意，连俄罗斯放弃恩怨主动援助意大利都受到了指责与批评，可惜俄罗斯一连串的行动，让人们发现那不是什么作秀，完全出于真心。如今俄罗斯自身疫情危险，仍然决定对其他国家实施援助，这本身是一种好意，可惜西方对其援助依然大力怀疑，结果俄罗斯直接打脸，对外援助有增无减，不仅仅援助了意大利，还派出医疗队前往了塞尔维亚，2019年4月份，在俄罗斯自身疫情危险的情况下，仍... http://t.cn/A6wF0sLh 原图 ,2020/4/26 6:23,5,1,7
IF3nwn89f,黄昌洋66,男,江苏,614,78,黄昌洋66:2020年1月20日对江苏省连云港市海州区卫健委来说，注定是一个永久载入史册的日子。板浦医院院长侍加海的突然调离发布，无疑是海州区卫健委2020年终极饕餮盛宴，令一众百姓舆论大哗瞠目结舌，侍大院长堪比新型冠状病毒还炫目牛逼！“加勒比海盗”有“侍”无恐绝非浪得虚名，飞天遁地无所不能！何为调离？调往何处高就？无可奉告不得而知！想必调虎离山，虎也有无尽苦衷如鲠在喉，丢车保帅，车翻帅卒者比比皆是。如此无厘头的荒唐发布，于海州区卫健委而言，也是可圈可点震古烁今了！背后故事的龌龊程度着实令人恶心不齿，所谓黔驴技穷欲盖弥彰莫过于此，无论如何变相隐瞒唆使，结果和真相就在这里，所有的推诿掩盖折腾，只是为了拖延散场的时间。没关系，压轴大戏开锣，势必座无虚席，我们坚决奉陪到底！国家的反腐零容忍，永远在路上，绝对不是一句大话空话！何况群众的眼睛永远都是雪亮犀利的，大家必将拭目以待，坐等侍加海的最终处理结果横空出炉！     新型冠状疫情的发生，坊间才传闻侍加海到连云港市海州区洪门社区卫生服务中心报到了。请问海州区卫健委领导，普通调离，为啥不能在1月20日海州区板浦医院党员民主生活会上直接说出？你们卫健委领导如此不遗余力地保护侍加海，究竟为何？因为你们的保护式处理，直接导致患急性脑血栓的黄昌洋岳父气得再也不说话了，2月14日再次报120急救，如此逼死人的党员民主生活会，这可是海州区卫健委领导所做的呀，难道海州区洪门社区卫生服务中心是侍加海的避风港？ [组图共9张] 原图 ,2020/4/26 6:18,0,0,0
IF4Olc3Pt,北京国丹白癜风医院,男,北京,2904,545203,北京国丹白癜风医院:《宅家发胖？别急，这份减肥指南值得白癜风患者收藏》 2020年的假期比往年要长一些，相信有不少人会有发福的迹象，此时此刻减肥又成为了心中一件又待完成的任务，不过因为疫情的发生，千万不能盲目减肥，尤其是白癜风患者。那么该怎么科学的减肥呢?当然是管住嘴，迈开腿!那么该如何做到这两点呢?#白癜风#  http://t.cn/A6wsh1lW ,2020/4/26 9:57,21,11,16
IF4tWb2Uz,合肥交通广播,男,安徽,621,316805,合肥交通广播:#1026疫情防控权威发布# 【#31省区市新增11例确诊病例# #31省区市新增6例本土病例#】4月25日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例11例，其中5例为境外输入病例，6例为本土病例（黑龙江5例，广东1例）；无新增死亡病例；无新增疑似病例。　　当日新增治愈出院病例48例，解除医学观察的密切接触者779人，重症病例增加2例。　　境外输入现有确诊病例694例（含重症病例22例），现有疑似病例10例。累计确诊病例1634例，累计治愈出院病例940例，无死亡病例。　　截至4月25日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例801例（其中重症病例51例），累计治愈出院病例77394例，累计死亡病例4632例，累计报告确诊病例82827例，现有疑似病例12例。累计追踪到密切接触者729885人，尚在医学观察的密切接触者8308人。　　湖北无新增确诊病例，新增治愈出院病例11例（武汉11例），无新增死亡病例，现有确诊病例12例（武汉12例），无重症病例。累计治愈出院病例63604例（武汉46452例），累计死亡病例4512例（武汉3869例），累计确诊病例68128例（武汉50333例）。无新增疑似病例，无现有疑似病例。　　31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者30例，其中境外输入无症状感染者7例；当日转为确诊病例4例（无境外输入）；当日解除医学观察9例（境外输入6例）；尚在医学观察无症状感染者1000例（境外输入151例）。　　累计收到港澳台地区通报确诊病例1511例。其中，香港特别行政区1037例（出院753例，死亡4例），澳门特别行政区45例（出院28例），台湾地区429例（出院275例，死亡6例）。（央视新闻） 原图 ,2020/4/26 9:07,0,0,0
IF7bojqb2,草莓泡泡泡水,女,河南,149,42,草莓泡泡泡水:#五四精神传承有我##郑财会计正能量# 一场突如其来的疫情打破了原本普通而又平凡的中国年。但幸好我们被那样一群人守护着，他们不计报酬，无论生死，他们奋斗在一线与病毒抗争；我们被这样一群人守护着，他们与时间搏斗，在实验室里用令世界称赞的速度研制出试剂盒；我们被这样一群人守护着，他们舍弃了自我，付出无尽心力治愈着患者。我们应感到无比感恩与荣幸，能够被这样一群人守护。同时，我们也应该吸取教训，将贪婪与欲望收回，为我们共同的家园做出实际的努力。请@HONEYqwq 接力@郑州财经学院团委 @郑州财经学院 @郑州财经学院会计学院 http://t.cn/RMXV01F 显示地图 ,2020/4/26 15:59,1,0,3
IF7aV1No8,墨茶小娘子,女,其他,173,2,墨茶小娘子:根正苗红，无可厚非。一曲《红梅赞》涅槃归来，果敢执着终不弃。一曲《竹石》从一而终，坚守初心永不悔。为国分忧，无怨无悔；默默付出，无私无恨；坚韧奋进，无屈无畏。“相信自己的直觉，从未曾改变最初的那张脸”诠释的是“初心”;“经历多少次更迭，太多无法预言，安静跨越”诉说的是低谷里的迷茫无奈;“迎接未来不管多遥远，用特写放大着每一天，每一刻都要燃烧沸点”演绎的是触底反弹的决心与披荆斩棘的果敢。这样的歌词实在与他的经历太过契合，也能让人快速感知到他那份被温柔包裹着的勇气。而这份正能量又不仅仅只适合他自己，更适合放在如今这个阶段。蔓延全球的肺炎疫情如同笼罩在世人头顶的乌云，我们并不知道成功的终点线在何方，但始终都要抱有美好的期待与冲破困难的勇敢，熬过这场天黑，总能迎来光点 http://t.cn/RJytF2l 显示地图 [组图共4张] 原图 ,2020/4/26 15:58,1,0,0
IF7aP97fO,谢坤看见,男,陕西,2766,130976,谢坤看见:【2020#中国产业带数字化发展报告#：C2M成为产业带商家增长新动力】随着全球疫情扩散，全国工厂面临生产销售困境，以C2M为代表数字化解决方案，正成为产业带商家争相把握的增长机会。报告显示，疫情期间，全国产业带数字化升级加速，东部地区尤其活跃。#中国十大数字化产业带#中，广东占了一半。  http://t.cn/A6ws4JC8 ,2020/4/26 15:58,0,0,0
IF7aN5O5y,英勇神武榴莲酱,男,北京,304,244,英勇神武榴莲酱:气死我了！去年十月拼的set，主拼人说她正好还有其他东西就一起囤着，之后一起发，这不之后疫情然后停运（我真佩服我自己居然中途忘了所以一直没问）然后我今天整理我瞎dd的东西才想起来去问一下进度，然后就被怼了不是…你们都不想知道一下进度什么的吗…怼我干什么，我又不是在质问？yygq我也会！气死我了气死我了气死我了 ,2020/4/26 15:58,1,0,0
IF7aa68NV,英国朱迪,女,湖南,560,59108,英国朱迪:想求一个选校建议英港混申的gap选手(已经gap一年了所以今年无条件要走)，目前手里的Offer主要在这三个里面纠结：港城 business information systems谢菲 information systems management曼大环发 management and information systems现在的情况是：港城已交留位费，谢菲需要读6周语言，曼大差写作小分读不了语言(在考虑要不要转考pte)本来已经决定去谢菲了，由于疫情原因又有点纠结，然后突然曼大来了，虽然是环发但是觉得qs很香…bg：财经211，低均分80+，雅思6.5(5.5)毕业后回国工作，主要考虑体制内或是政策性银行 原图 ,2020/4/26 15:56,8,0,13
IF7a9rSgc,香港中通社,男,香港,395,457723,香港中通社:【台染疫艦隊“秘密任務”曝光 因疫情無法靠岸不得已漂泊南海】民進黨“立委”王定宇此前爆料稱，“敦睦艦隊”除此次出航前往帕勞以外，其實還有執行重要機密任務的“額外航程”。而據台媒23日報道，根據軍事部門公佈的相關資料顯示，“敦睦艦隊”離開帕勞後，曾繼續航行至南海海域。http://t.cn/A6Av489m視頻：燃新聞#世卫组织总干事回应来自台湾的人身攻击# #台湾一舰队24人确诊# ,2020/4/26 15:56,17,1,4
